"convocation","years","first_name","last_name","counter","x","y"
1,"1990-1994","Лариса","Скорик","1",1,1
1,"1990-1994","Володимир","Крижанівський","1",2,1
1,"1990-1994","Євген","Чулаков","1",3,1
1,"1990-1994","Володимир","Мазур","1",4,1
1,"1990-1994","Микола","Омельченко","1",5,1
1,"1990-1994","Василь","Сухий","1",6,1
1,"1990-1994","Володимир","Меньшов","1",7,1
1,"1990-1994","Микола","Сівцов","1",8,1
1,"1990-1994","Костянтин","Продан","1",9,1
1,"1990-1994","Павло","Лазаренко","1",10,1
1,"1990-1994","Володимир","Слєднєв","1",1,2
1,"1990-1994","Іван","Дорошенко","1",2,2
1,"1990-1994","Микола","Дзюба","1",3,2
1,"1990-1994","Альберт","Корнєєв","1",4,2
1,"1990-1994","Юрій","Серебрянников","1",5,2
1,"1990-1994","Юхим","Звягільський","1",6,2
1,"1990-1994","Віктор","Гусєв","1",7,2
1,"1990-1994","Валентин","Тризна","1",8,2
1,"1990-1994","Геннадій","Маслюк","1",9,2
1,"1990-1994","Олександр","Чародєєв","1",10,2
1,"1990-1994","Іван","Марченко","1",1,3
1,"1990-1994","Леонід","Гребенченко","1",2,3
1,"1990-1994","Віталій","Черненко","1",3,3
1,"1990-1994","Ярослав","Кондратьєв","1",4,3
1,"1990-1994","Сергій","Локтєв","1",5,3
1,"1990-1994","Олег","Панасовський","1",6,3
1,"1990-1994","Валерій","Топалов","1",7,3
1,"1990-1994","Лідія","Сівкова","1",8,3
1,"1990-1994","Олександр","Старіченко","1",9,3
1,"1990-1994","Віктор","Ляшко","1",10,3
1,"1990-1994","Валентин","Маякін","1",1,4
1,"1990-1994","Раїса","Богатирьова","1",2,4
1,"1990-1994","Олексій","Шеховцов","1",3,4
1,"1990-1994","Василь","Васильєв","1",4,4
1,"1990-1994","Іван","Салій","1",5,4
1,"1990-1994","Юрій","Смирнов","1",6,4
1,"1990-1994","Анатолій","Хунов","1",7,4
1,"1990-1994","Володимир","Жуков","1",8,4
1,"1990-1994","Микола","Півень","1",9,4
1,"1990-1994","Віктор","Шевченко","1",10,4
1,"1990-1994","Сергій","Макаренко","1",1,5
1,"1990-1994","Юрій","Хотлубєй","1",2,5
1,"1990-1994","Михайло","Під'яблонський","1",3,5
1,"1990-1994","Олександр","Булянда","1",4,5
1,"1990-1994","Анатолій","Бандура","1",5,5
1,"1990-1994","Борис","Задорожний","1",6,5
1,"1990-1994","Віталій","Карпенко","1",7,5
1,"1990-1994","Володимир","Ясинський","1",8,5
1,"1990-1994","Володимир","Новіков","1",9,5
1,"1990-1994","Анатолій","Кисельов","1",10,5
1,"1990-1994","Микола","Бурего","1",1,6
1,"1990-1994","Сергій","Колеснік","1",2,6
1,"1990-1994","Віктор","Пауль","1",3,6
1,"1990-1994","Валерій","Чураков","1",4,6
1,"1990-1994","Зіновій","Островський","1",5,6
1,"1990-1994","Валерій","Родигін","1",6,6
1,"1990-1994","Анатолій","Мартинов","1",7,6
1,"1990-1994","Анатолій","Толстоухов","1",8,6
1,"1990-1994","Станіслав","Герасименко","1",9,6
1,"1990-1994","Павло","Кислий","1",10,6
1,"1990-1994","Микола","Сидоренко","1",1,7
1,"1990-1994","Олександр","Рибін","1",2,7
1,"1990-1994","Григорій","Дашивець","1",3,7
1,"1990-1994","Яків","Зайко","1",4,7
1,"1990-1994","Олександр","Сугоняко","1",5,7
1,"1990-1994","Віталій","Мельничук","1",6,7
1,"1990-1994","Олексій","Хилюк","1",7,7
1,"1990-1994","Володимир","Яценко","1",8,7
1,"1990-1994","Володимир","Федоров","1",9,7
1,"1990-1994","Микола","Дупляк","1",10,7
1,"1990-1994","Олександр","Коцюба","1",1,8
1,"1990-1994","Станіслава","Янушевич","1",2,8
1,"1990-1994","Михайло","Борейко","1",3,8
1,"1990-1994","Федір","Панасюк","1",4,8
1,"1990-1994","Валентин","Будько","1",5,8
1,"1990-1994","Валерій","Бондарєв","1",6,8
1,"1990-1994","Василь","Рудик","1",7,8
1,"1990-1994","Володимир","Гайовий","1",8,8
1,"1990-1994","Ігор","Єліашевич","1",9,8
1,"1990-1994","Володимир","Данчевський","1",10,8
1,"1990-1994","Василь","Шепа","1",1,9
1,"1990-1994","Іван","Заєць","1",2,9
1,"1990-1994","Андрій","Поличко","1",3,9
1,"1990-1994","Станіслав","Бабенко","1",4,9
1,"1990-1994","Іван","Галас","1",5,9
1,"1990-1994","Дмитро","Кельман","1",6,9
1,"1990-1994","Іван","Герц","1",7,9
1,"1990-1994","Іван","Габор","1",8,9
1,"1990-1994","Михайло","Волощук","1",9,9
1,"1990-1994","Віктор","Бедь","1",10,9
1,"1990-1994","Дмитро","Дорчинець","1",1,10
1,"1990-1994","Володимир","Романчук","1",2,10
1,"1990-1994","Віктор","Слєсаренко","1",3,10
1,"1990-1994","Сергій","Головатий","1",4,10
1,"1990-1994","Віталій","Сацький","1",5,10
1,"1990-1994","Євген","Короленко","1",6,10
1,"1990-1994","Олексій","Порада","1",7,10
1,"1990-1994","Анатолій","Дубовський","1",8,10
1,"1990-1994","Сергій","Соболєв","1",9,10
1,"1990-1994","Валерій","Ізмалков","1",10,10
1,"1990-1994","Володимир","Шевченко","1",1,11
1,"1990-1994","Віктор","Сичов","1",2,11
1,"1990-1994","Олександр","Білоусенко","1",3,11
1,"1990-1994","Анатолій","Ніколенко","1",4,11
1,"1990-1994","Анатолій","Мокроусов","1",5,11
1,"1990-1994","Олексій","Причкін","1",6,11
1,"1990-1994","Іван","Гоменюк","1",7,11
1,"1990-1994","Борис","Олійник","1",8,11
1,"1990-1994","Іван","Бойко","1",9,11
1,"1990-1994","Леонід","Білий","1",10,11
1,"1990-1994","Олександр","Воробйов","1",1,12
1,"1990-1994","Володимир","Петренко","1",2,12
1,"1990-1994","Левко","Лук'яненко","1",3,12
1,"1990-1994","Василь","Костицький","1",4,12
1,"1990-1994","Маркіян","Чучук","1",5,12
1,"1990-1994","Михайло","Голубець","1",6,12
1,"1990-1994","Степан","Пушик","1",7,12
1,"1990-1994","Павло","Мовчан","1",8,12
1,"1990-1994","Володимир","Шовкошитний","1",9,12
1,"1990-1994","Степан","Волковецький","1",10,12
1,"1990-1994","Володимир","Шлемко","1",1,13
1,"1990-1994","Зіновій","Дума","1",2,13
1,"1990-1994","Любомир","Пиріг","1",3,13
1,"1990-1994","Євген","Новицький","1",4,13
1,"1990-1994","Дмитро","Захарук","1",5,13
1,"1990-1994","Богдан","Ребрик","1",6,13
1,"1990-1994","Петро","Осадчук","1",7,13
