"convocation","gender","last_name","first_name","year","label","years","start","age_at_start","full_name"
1,1,"Шевченко","Олександр",1924,1,"1990-1994","1990",66,"Олександр Шевченко"
1,1,"Юхновський","Ігор",1925,1,"1990-1994","1990",65,"Ігор Юхновський"
1,1,"Стрельников","Володимир",1925,2,"1990-1994","1990",65,"Володимир Стрельников"
1,1,"Артеменко","Микола",1926,1,"1990-1994","1990",64,"Микола Артеменко"
1,1,"Лук'яненко","Левко",1927,1,"1990-1994","1990",63,"Левко Лук'яненко"
1,1,"Ванєєв","Геннадій",1927,2,"1990-1994","1990",63,"Геннадій Ванєєв"
1,1,"Порада","Олексій",1928,1,"1990-1994","1990",62,"Олексій Порада"
1,1,"Крючков","Василь",1928,2,"1990-1994","1990",62,"Василь Крючков"
1,1,"Масол","Віталій",1928,3,"1990-1994","1990",62,"Віталій Масол"
1,1,"Марченко","Іван",1929,1,"1990-1994","1990",61,"Іван Марченко"
1,1,"Іваничук","Роман",1929,2,"1990-1994","1990",61,"Роман Іваничук"
1,1,"Дорогунцов","Сергій",1929,3,"1990-1994","1990",61,"Сергій Дорогунцов"
1,1,"Резнік","Борис",1929,4,"1990-1994","1990",61,"Борис Резнік"
1,1,"Ананьєв","Володимир",1929,5,"1990-1994","1990",61,"Володимир Ананьєв"
1,1,"Павличко","Дмитро",1929,6,"1990-1994","1990",61,"Дмитро Павличко"
1,1,"Чумак","Аркадій",1929,7,"1990-1994","1990",61,"Аркадій Чумак"
1,1,"Єльченко","Юрій",1929,8,"1990-1994","1990",61,"Юрій Єльченко"
1,1,"Заєць","Олександр",1929,9,"1990-1994","1990",61,"Олександр Заєць"
1,1,"Продан","Костянтин",1930,1,"1990-1994","1990",60,"Костянтин Продан"
1,1,"Бурего","Микола",1930,2,"1990-1994","1990",60,"Микола Бурего"
1,1,"Сацький","Віталій",1930,3,"1990-1994","1990",60,"Віталій Сацький"
1,1,"Голубець","Михайло",1930,4,"1990-1994","1990",60,"Михайло Голубець"
1,1,"Горинь","Михайло",1930,5,"1990-1994","1990",60,"Михайло Горинь"
1,1,"Качура","Борис",1930,6,"1990-1994","1990",60,"Борис Качура"
1,1,"Тризна","Олександр",1930,7,"1990-1994","1990",60,"Олександр Тризна"
1,1,"Шепа","Василь",1931,1,"1990-1994","1990",59,"Василь Шепа"
1,1,"Пиріг","Любомир",1931,2,"1990-1994","1990",59,"Любомир Пиріг"
1,1,"Козярський","Богдан",1931,3,"1990-1994","1990",59,"Богдан Козярський"
1,1,"Швайка","Михайло",1931,4,"1990-1994","1990",59,"Михайло Швайка"
1,1,"Бондаренко","Віктор",1931,5,"1990-1994","1990",59,"Віктор Бондаренко"
1,1,"Куянов","Віктор",1931,6,"1990-1994","1990",59,"Віктор Куянов"
1,1,"Новицький","Євген",1932,1,"1990-1994","1990",58,"Євген Новицький"
1,1,"Корнієнко","Леонід",1932,2,"1990-1994","1990",58,"Леонід Корнієнко"
1,1,"Бокша","Іван",1932,3,"1990-1994","1990",58,"Іван Бокша"
1,1,"Ємельянов","Олександр",1932,4,"1990-1994","1990",58,"Олександр Ємельянов"
1,1,"Івашко","Володимир",1932,5,"1990-1994","1990",58,"Володимир Івашко"
1,1,"Фокін","Вітольд",1932,6,"1990-1994","1990",58,"Вітольд Фокін"
1,1,"Звягільський","Юхим",1933,1,"1990-1994","1990",57,"Юхим Звягільський"
1,1,"Кислий","Павло",1933,2,"1990-1994","1990",57,"Павло Кислий"
1,1,"Гайовий","Володимир",1933,3,"1990-1994","1990",57,"Володимир Гайовий"
1,1,"Галас","Іван",1933,4,"1990-1994","1990",57,"Іван Галас"
1,1,"Грабін","Володимир",1933,5,"1990-1994","1990",57,"Володимир Грабін"
1,1,"Мацялко","Михайло",1933,6,"1990-1994","1990",57,"Михайло Мацялко"
1,1,"Алтунян","Генріх",1933,7,"1990-1994","1990",57,"Генріх Алтунян"
1,1,"Меньшов","Володимир",1934,1,"1990-1994","1990",56,"Володимир Меньшов"
1,1,"Маякін","Валентин",1934,2,"1990-1994","1990",56,"Валентин Маякін"
1,1,"Волощук","Михайло",1934,3,"1990-1994","1990",56,"Михайло Волощук"
1,1,"Дубовський","Анатолій",1934,4,"1990-1994","1990",56,"Анатолій Дубовський"
1,1,"Воробйов","Олександр",1934,5,"1990-1994","1990",56,"Олександр Воробйов"
1,1,"Желіба","Володимир",1934,6,"1990-1994","1990",56,"Володимир Желіба"
1,1,"Некрасов","Владилен",1934,7,"1990-1994","1990",56,"Владилен Некрасов"
1,1,"Влох","Орест",1934,8,"1990-1994","1990",56,"Орест Влох"
1,1,"Олійник","Борис",1934,9,"1990-1994","1990",56,"Борис Олійник"
1,1,"Косів","Михайло",1934,10,"1990-1994","1990",56,"Михайло Косів"
1,1,"Пилипенко","Віктор",1934,11,"1990-1994","1990",56,"Віктор Пилипенко"
1,1,"Хижняк","Віталій",1934,12,"1990-1994","1990",56,"Віталій Хижняк"
1,1,"Хоменко","Микола",1934,13,"1990-1994","1990",56,"Микола Хоменко"
1,1,"Бондаренко","Анатолій",1934,14,"1990-1994","1990",56,"Анатолій Бондаренко"
1,1,"Кравчук","Леонід",1934,15,"1990-1994","1990",56,"Леонід Кравчук"
1,1,"Пучко","Олександр",1934,16,"1990-1994","1990",56,"Олександр Пучко"
1,1,"Шаповал","Володимир",1934,17,"1990-1994","1990",56,"Володимир Шаповал"
1,1,"Стус","Володимир",1934,18,"1990-1994","1990",56,"Володимир Стус"
1,1,"Віцяк","Павло",1934,19,"1990-1994","1990",56,"Павло Віцяк"
1,1,"Квасов","Володимир",1934,20,"1990-1994","1990",56,"Володимир Квасов"
1,1,"Ляшко","Віктор",1935,1,"1990-1994","1990",55,"Віктор Ляшко"
1,1,"Олійник","Борис",1935,2,"1990-1994","1990",55,"Борис Олійник"
1,1,"Горін","Едуард",1935,3,"1990-1994","1990",55,"Едуард Горін"
1,1,"Дідик","Микола",1935,4,"1990-1994","1990",55,"Микола Дідик"
1,1,"Попик","Іван",1935,5,"1990-1994","1990",55,"Іван Попик"
1,1,"Щербина","Володимир",1935,6,"1990-1994","1990",55,"Володимир Щербина"
1,1,"Гетьман","Вадим",1935,7,"1990-1994","1990",55,"Вадим Гетьман"
1,1,"Пасічник","Іван",1935,8,"1990-1994","1990",55,"Іван Пасічник"
1,1,"Омельченко","Микола",1936,1,"1990-1994","1990",54,"Микола Омельченко"
1,1,"Данчевський","Володимир",1936,2,"1990-1994","1990",54,"Володимир Данчевський"
1,1,"Герц","Іван",1936,3,"1990-1994","1990",54,"Іван Герц"
1,1,"Гуренко","Станіслав",1936,4,"1990-1994","1990",54,"Станіслав Гуренко"
1,1,"Драч","Іван",1936,5,"1990-1994","1990",54,"Іван Драч"
1,1,"Котик","Богдан",1936,6,"1990-1994","1990",54,"Богдан Котик"
1,1,"Гринів","Євген",1936,7,"1990-1994","1990",54,"Євген Гринів"
1,1,"Горинь","Богдан",1936,8,"1990-1994","1990",54,"Богдан Горинь"
1,1,"Гальцев","Павло",1936,9,"1990-1994","1990",54,"Павло Гальцев"
1,1,"Стадниченко","Володимир",1936,10,"1990-1994","1990",54,"Володимир Стадниченко"
1,1,"Васін","Євген",1936,11,"1990-1994","1990",54,"Євген Васін"
1,1,"Ткач","Полікарп",1936,12,"1990-1994","1990",54,"Полікарп Ткач"
1,1,"Шкарбан","Микола",1936,13,"1990-1994","1990",54,"Микола Шкарбан"
1,1,"Єршов","Аркадій",1936,14,"1990-1994","1990",54,"Аркадій Єршов"
1,1,"Рапій","Роман",1936,15,"1990-1994","1990",54,"Роман Рапій"
1,1,"Карасик","Владлен",1936,16,"1990-1994","1990",54,"Владлен Карасик"
1,1,"Уманець","Юрій",1936,17,"1990-1994","1990",54,"Юрій Уманець"
1,1,"Шариков","Борис",1936,18,"1990-1994","1990",54,"Борис Шариков"
1,1,"Поперняк","Анатолій",1936,19,"1990-1994","1990",54,"Анатолій Поперняк"
1,1,"Дробінський","Віталій",1936,20,"1990-1994","1990",54,"Віталій Дробінський"
1,1,"Бондарчук","Андрій",1936,21,"1990-1994","1990",54,"Андрій Бондарчук"
1,1,"Гришко","Михайло",1936,22,"1990-1994","1990",54,"Михайло Гришко"
1,1,"Ляхов","Іван",1936,23,"1990-1994","1990",54,"Іван Ляхов"
1,1,"Мельник","Анатолій",1936,24,"1990-1994","1990",54,"Анатолій Мельник"
1,2,"Остроущенко","Світлана",1937,1,"1990-1994","1990",53,"Світлана Остроущенко"
1,1,"Чулаков","Євген",1937,2,"1990-1994","1990",53,"Євген Чулаков"
1,1,"Корнєєв","Альберт",1937,3,"1990-1994","1990",53,"Альберт Корнєєв"
1,1,"Булянда","Олександр",1937,4,"1990-1994","1990",53,"Олександр Булянда"
1,1,"Задорожний","Борис",1937,5,"1990-1994","1990",53,"Борис Задорожний"
1,1,"Ясинський","Володимир",1937,6,"1990-1994","1990",53,"Володимир Ясинський"
1,1,"Дорчинець","Дмитро",1937,7,"1990-1994","1990",53,"Дмитро Дорчинець"
1,1,"Білоусенко","Олександр",1937,8,"1990-1994","1990",53,"Олександр Білоусенко"
1,1,"Осадчук","Петро",1937,9,"1990-1994","1990",53,"Петро Осадчук"
1,1,"Дурдинець","Василь",1937,10,"1990-1994","1990",53,"Василь Дурдинець"
1,1,"Ігнатенко","Володимир",1937,11,"1990-1994","1990",53,"Володимир Ігнатенко"
1,1,"Павліченко","Віталій",1937,12,"1990-1994","1990",53,"Віталій Павліченко"
1,1,"Терехов","Володимир",1937,13,"1990-1994","1990",53,"Володимир Терехов"
1,1,"Багров","Микола",1937,14,"1990-1994","1990",53,"Микола Багров"
1,1,"Хмара","Степан",1937,15,"1990-1994","1990",53,"Степан Хмара"
1,1,"Чорновіл","Вячеслав",1937,16,"1990-1994","1990",53,"Вячеслав Чорновіл"
1,1,"Савченко","Анатолій",1937,17,"1990-1994","1990",53,"Анатолій Савченко"
1,1,"Потебенько","Михайло",1937,18,"1990-1994","1990",53,"Михайло Потебенько"
1,1,"Мазур","Юлій",1937,19,"1990-1994","1990",53,"Юлій Мазур"
1,1,"Лобенко","Анатолій",1937,20,"1990-1994","1990",53,"Анатолій Лобенко"
1,1,"Рибальченко","Анатолій",1937,21,"1990-1994","1990",53,"Анатолій Рибальченко"
1,1,"Дудченко","Віталій",1937,22,"1990-1994","1990",53,"Віталій Дудченко"
1,1,"Печеров","Андрій",1937,23,"1990-1994","1990",53,"Андрій Печеров"
1,1,"Мартиненко","Володимир",1937,24,"1990-1994","1990",53,"Володимир Мартиненко"
1,1,"Гопей","Іван",1937,25,"1990-1994","1990",53,"Іван Гопей"
1,1,"Бандурка","Олександр",1937,26,"1990-1994","1990",53,"Олександр Бандурка"
1,1,"Нагулко","Тарас",1937,27,"1990-1994","1990",53,"Тарас Нагулко"
1,1,"Жук","Віктор",1937,28,"1990-1994","1990",53,"Віктор Жук"
1,1,"Ревенко","Микола",1937,29,"1990-1994","1990",53,"Микола Ревенко"
1,1,"Леміш","Валентин",1937,30,"1990-1994","1990",53,"Валентин Леміш"
1,1,"Козаренко","Василь",1937,31,"1990-1994","1990",53,"Василь Козаренко"
1,1,"Базілянський","Лев",1937,32,"1990-1994","1990",53,"Лев Базілянський"
1,1,"Гавриленко","Микола",1937,33,"1990-1994","1990",53,"Микола Гавриленко"
1,1,"Ліщина","Богдан",1937,34,"1990-1994","1990",53,"Богдан Ліщина"
1,1,"Духов","Борис",1937,35,"1990-1994","1990",53,"Борис Духов"
1,1,"Попов","Микола",1937,36,"1990-1994","1990",53,"Микола Попов"
1,1,"Сметанін","Володимир",1937,37,"1990-1994","1990",53,"Володимир Сметанін"
1,1,"Коробко","Микола",1937,38,"1990-1994","1990",53,"Микола Коробко"
1,1,"Слєднєв","Володимир",1938,1,"1990-1994","1990",52,"Володимир Слєднєв"
1,1,"Короленко","Євген",1938,2,"1990-1994","1990",52,"Євген Короленко"
1,1,"Причкін","Олексій",1938,3,"1990-1994","1990",52,"Олексій Причкін"
1,1,"Ребрик","Богдан",1938,4,"1990-1994","1990",52,"Богдан Ребрик"
1,1,"Мартинчук","Василь",1938,5,"1990-1994","1990",52,"Василь Мартинчук"
1,1,"Ейсмонт","Володимир",1938,6,"1990-1994","1990",52,"Володимир Ейсмонт"
1,1,"Мармазов","Євген",1938,7,"1990-1994","1990",52,"Євген Мармазов"
1,1,"Рева","Віталій",1938,8,"1990-1994","1990",52,"Віталій Рева"
1,1,"Саввін","Олексій",1938,9,"1990-1994","1990",52,"Олексій Саввін"
1,1,"Романюк","Віталій",1938,10,"1990-1994","1990",52,"Віталій Романюк"
1,1,"Шинкарук","Володимир",1938,11,"1990-1994","1990",52,"Володимир Шинкарук"
1,1,"Грицай","Іван",1938,12,"1990-1994","1990",52,"Іван Грицай"
1,1,"Танюк","Леонід",1938,13,"1990-1994","1990",52,"Леонід Танюк"
