id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_id,party_name,num_in_party,anketa_url,photo,photo_id,gender,birthday,education,old_profession,old_post
830,7188,mp-d9_skl4,4,Євдокимов Валерій Олександрович,Валерій,Олександрович,Євдокимов,В.О.,,14.05.2002,25.05.2006,"Виборчий округ № 9, Автономна Республіка Крим",Виборчий округ № 9,9,Автономна Республіка Крим,53,Соціал-демократична партія України (об'єднана),,http://itd.rada.gov.ua/mps/info/expage/830/5,http://static.rada.gov.ua/dep_img4/d9.jpg,d9,1,15.07.1941,Вища,юрист,голова Вищої ради юстиції України
2334,7368,mp-d103_skl4,4,Єдін Олександр Йосипович,Олександр,Йосипович,Єдін,О.Й.,,14.05.2002,25.05.2006,"Виборчий округ № 103, Кіровоградська область",Виборчий округ № 103,103,Кіровоградська область,97,"Виборчий блок політичних партій ""За Єдину Україну!""",,http://itd.rada.gov.ua/mps/info/expage/2334/5,http://static.rada.gov.ua/dep_img4/d103.jpg,d103,1,17.05.1960,Вища,"викладач іноземної мови, романо-германські мови та література",народний депутат України третього скликання
5509,7212,mp-d23_skl4,4,Єремеєв Ігор Миронович,Ігор,Миронович,Єремеєв,І.М.,,14.05.2002,25.05.2006,"Виборчий округ № 23, Волинська область",Виборчий округ № 23,23,Волинська область,97,"Виборчий блок політичних партій ""За Єдину Україну!""",,http://itd.rada.gov.ua/mps/info/expage/5509/5,http://static.rada.gov.ua/dep_img4/d23.jpg,d23,1,03.04.1968,Вища,інженер-будівельник,"генеральний директор товариства з обмеженою відповідальністю ""Континіум"""
2267,7658,mp-nu26_skl4,4,Єхануров Юрій Іванович,Юрій,Іванович,Єхануров,Ю.І.,,14.05.2002,23.06.2005,"Багатомандатний загальнодержавний виборчий округ, Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна"" /№ у списку - 26/",,,,95,"Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""",26,http://itd.rada.gov.ua/mps/info/expage/2267/5,http://static.rada.gov.ua/dep_img4/nu26.jpg,nu26,1,23.08.1948,Вища,економіст,уповноважений Президента України з питань адміністративної реформи
2106,7824,mp-kpu39_skl4,4,Єщенко Володимир Миколайович,Володимир,Миколайович,Єщенко,В.М.,,14.05.2002,18.01.2006,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 39/",,,,5,Комуністична партія України,39,http://itd.rada.gov.ua/mps/info/expage/2106/5,http://static.rada.gov.ua/dep_img4/kpu39.jpg,kpu39,1,25.08.1949,Вища,"інженер-механік, політолог",народний депутат України третього скликання
2363,7176,mp-d3_skl4,4,Іванов Сергій Анатолійович,Сергій,Анатолійович,Іванов,С.А.,,14.05.2002,07.07.2005,"Виборчий округ № 3, Автономна Республіка Крим",Виборчий округ № 3,3,Автономна Республіка Крим,0,Самовисування,,http://itd.rada.gov.ua/mps/info/expage/2363/5,http://static.rada.gov.ua/dep_img4/d3.jpg,d3,1,21.01.1952,Вища,юрист-правознавець,народний депутат України третього скликання
5502,7744,mp-nu69_skl4,4,Іванчо Іван Васильович,Іван,Васильович,Іванчо,І.В.,,14.05.2002,25.05.2006,"Багатомандатний загальнодержавний виборчий округ, Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна"" /№ у списку - 69/",,,,95,"Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""",69,http://itd.rada.gov.ua/mps/info/expage/5502/5,http://static.rada.gov.ua/dep_img4/nu69.jpg,nu69,1,04.07.1946,Вища,економіст,голова Закарпатської обласної ради
5439,7720,mp-nu57_skl4,4,Івченко Олексій Григорович,Олексій,Григорович,Івченко,О.Г.,,14.05.2002,07.07.2005,"Багатомандатний загальнодержавний виборчий округ, Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна"" /№ у списку - 57/",,,,95,"Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""",57,http://itd.rada.gov.ua/mps/info/expage/5439/5,http://static.rada.gov.ua/dep_img4/nu57.jpg,nu57,1,02.01.1963,Вища,"інженер-будівельник,економіст","голова спостережної ради дочірнього підприємства закритого акціонерного товариства ""Українська промислова компанія ""Добромиль"""
5494,7682,mp-nu38_skl4,4,Ігнатенко Павло Миколайович,Павло,Миколайович,Ігнатенко,П.М.,,14.05.2002,03.03.2005,"Багатомандатний загальнодержавний виборчий округ, Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна"" /№ у списку - 38/",,,,95,"Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""",38,http://itd.rada.gov.ua/mps/info/expage/5494/5,http://static.rada.gov.ua/dep_img4/nu38.jpg,nu38,1,02.06.1973,Вища,економіст,"керуючий проектами закритого акціонерного товариства ""Альфа-Банк"""
793,7386,mp-d112_skl4,4,Іоффе Юлій Якович,Юлій,Якович,Іоффе,Ю.Я.,,14.05.2002,25.05.2006,"Виборчий округ № 112, Луганська область",Виборчий округ № 112,112,Луганська область,0,Самовисування,,http://itd.rada.gov.ua/mps/info/expage/793/5,http://static.rada.gov.ua/dep_img4/d112.jpg,d112,1,10.12.1940,Вища,гірничий інженер-електромеханік,народний депутат України третього скликання
