id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education
1165,9718,mp-reg222_skl6,6,Євтухов Василь Іванович,Василь,Іванович,Євтухов,В.І.,15.02.2011,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 222/",94,Партія регіонів,222,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/1165/7,http://static.rada.gov.ua/dep_img6/reg222.jpg,reg222,1,16.10.1948,Вища
9989,9676,mp-reg179_skl6,6,Єгоренко Тамара Василівна,Тамара,Василівна,Єгоренко,Т.В.,02.03.2010,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 179/",94,Партія регіонів,179,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br> проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/9989/7,http://static.rada.gov.ua/dep_img6/reg179.jpg,reg179,2,11.12.1949,Вища
7768,9706,mp-reg211_skl6,6,Єгоров Олександр Миколайович,Олександр,Миколайович,Єгоров,О.М.,27.04.2010,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 211/",94,Партія регіонів,211,"член Партії регіонів,<br>освіта вища,<br>голова наглядової ради ТОВ ""Актив-Банк"",<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/7768/7,http://static.rada.gov.ua/dep_img6/reg211.jpg,reg211,1,06.10.1965,Вища
2334,9421,mp-reg120_skl6,6,Єдін Олександр Йосипович,Олександр,Йосипович,Єдін,О.Й.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 120/",94,Партія регіонів,120,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br> проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/2334/7,http://static.rada.gov.ua/dep_img6/reg120.jpg,reg120,1,17.05.1960,Вища
8762,9262,mp-but90_skl6,6,Єресько Ігор Геннадійович,Ігор,Геннадійович,Єресько,І.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 90/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",90,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>тимчасово не працює,<br>проживає в місті Черкасах",http://itd.rada.gov.ua/mps/info/expage/8762/7,http://static.rada.gov.ua/dep_img6/but90.jpg,but90,1,05.10.1956,Вища
8763,9274,mp-reg8_skl6,6,Єфремов Олександр Сергійович,Олександр,Сергійович,Єфремов,О.С.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 8/",94,Партія регіонів,8,"член Партії регіонів,<br>освіта вища,<br>народний депутат України,<br>проживає в місті Луганську",http://itd.rada.gov.ua/mps/info/expage/8763/7,http://static.rada.gov.ua/dep_img6/reg8.jpg,reg8,1,22.08.1954,Вища
2267,9278,mp-nuns24_skl6,6,Єхануров Юрій Іванович,Юрій,Іванович,Єхануров,Ю.І.,23.11.2007,19.12.2007,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"" , Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни /№ у списку - 24/",184,"Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",24,"член Народного Союзу ""Наша Україна"",<br>освіта вища,<br>президент Інституту конкурентного суспільства,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/2267/7,http://static.rada.gov.ua/dep_img6/nuns24.jpg,nuns24,1,23.08.1948,Вища
11172,9199,mp-but142_skl6,6,Іваненко Володимир Григорович,Володимир,Григорович,Іваненко,В.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 142/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",142,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>тренер-викладач ДЮСШ ""Вікторія"" комітету з фізичної культури та спорту Черкаського міськвиконкому,<br>проживає в місті Черкасах",http://itd.rada.gov.ua/mps/info/expage/11172/7,http://static.rada.gov.ua/dep_img6/but142.jpg,but142,1,01.01.1955,Вища
11112,9460,mp-reg111_skl6,6,Іванющенко Юрій Володимирович,Юрій,Володимирович,Іванющенко,Ю.В.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 111/",94,Партія регіонів,111,"безпартійний,<br>освіта базова вища,<br>президент ТОВ ""УГК-2000"",<br>проживає в місті Єнакієве Донецької області",http://itd.rada.gov.ua/mps/info/expage/11112/7,http://static.rada.gov.ua/dep_img6/reg111.jpg,reg111,1,21.02.1959,Вища базова
8773,9399,mp-reg148_skl6,6,Ілляшов Григорій Олексійович,Григорій,Олексійович,Ілляшов,Г.О.,23.11.2007,04.02.2011,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 148/",94,Партія регіонів,148,"безпартійний ,<br>освіта вища,<br>народний депутат України V скликання,<br> проживає в місті Луганську",http://itd.rada.gov.ua/mps/info/expage/8773/7,http://static.rada.gov.ua/dep_img6/reg148.jpg,reg148,1,13.04.1965,Вища
