id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education
7768,263,mp-reg44_skl7,7,Єгоров Олександр Миколайович,Олександр,Миколайович,Єгоров,О.М.,12.12.2012,27.11.2014,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 44/",,,,94,Партія регіонів,44,"освіта вища,<br>народний депутат України,<br>член Партії регіонів,<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 44.",http://itd.rada.gov.ua/mps/info/expage/7768/8,http://static.rada.gov.ua/dep_img7/reg44.jpg,reg44,1,06.10.1965,Вища
2334,102,mp-d102_1_skl7,7,Єдін Олександр Йосипович,Олександр,Йосипович,Єдін,О.Й.,12.12.2012,27.11.2014,"Виборчий округ № 102, Кіровоградська область",Виборчий округ № 102,102,Кіровоградська область,94,Партія регіонів,,"освіта вища,<br>народний депутат України,<br>член Партії регіонів,<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – Партія регіонів.",http://itd.rada.gov.ua/mps/info/expage/2334/8,http://static.rada.gov.ua/dep_img7/d102_1.jpg,d102_1,1,17.05.1960,Вища
4761,218,mp-d221_1_skl7,7,Ємець Леонід Олександрович,Леонід,Олександрович,Ємець,Л.О.,12.12.2012,27.11.2014,"Виборчий округ № 221, м. Київ",Виборчий округ № 221,221,м. Київ,17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",,"освіта вища,<br>заступник голови,<br>благодійна організація ""Фонд підтримки муніципальних ініціатив"",<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",http://itd.rada.gov.ua/mps/info/expage/4761/8,http://static.rada.gov.ua/dep_img7/d221_1.jpg,d221_1,1,30.08.1979,Вища
5509,24,mp-d23_1_skl7,7,Єремеєв Ігор Миронович,Ігор,Миронович,Єремеєв,І.М.,12.12.2012,27.11.2014,"Виборчий округ № 23, Волинська область",Виборчий округ № 23,23,Волинська область,0,Самовисування,,"освіта вища,<br>голова Спостережної ради,<br>Публічне акціонерне товариство ""Банк інвестицій та заощаджень"",<br>безпартійний,<br>проживає в селі Липини Луцького району Волинської області,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/5509/8,http://static.rada.gov.ua/dep_img7/d23_1.jpg,d23_1,1,03.04.1968,Вища
8763,225,mp-reg5_skl7,7,Єфремов Олександр Сергійович,Олександр,Сергійович,Єфремов,О.С.,12.12.2012,27.11.2014,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 5/",,,,94,Партія регіонів,5,"освіта вища,<br>народний депутат України,<br>член Партії регіонів,<br>проживає в місті Луганську,<br>судимість відсутня,<br>включений до виборчого списку під № 5.",http://itd.rada.gov.ua/mps/info/expage/8763/8,http://static.rada.gov.ua/dep_img7/reg5.jpg,reg5,1,22.08.1954,Вища
15654,330,mp-but41_skl7,7,Іванчук Андрій Володимирович,Андрій,Володимирович,Іванчук,А.В.,12.12.2012,27.11.2014,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 41/",,,,17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",41,"освіта вища,<br>радник голови,<br>Громадська організація ""ФРОНТ ЗМІН"",<br>безпартійний,<br>проживає в селі Іванковичі Васильківського району Київської області,<br>судимість відсутня,<br>включений до виборчого списку під № 41.",http://itd.rada.gov.ua/mps/info/expage/15654/8,http://static.rada.gov.ua/dep_img7/but41.jpg,but41,1,16.06.1973,Вища
11112,243,mp-reg24_skl7,7,Іванющенко Юрій Володимирович,Юрій,Володимирович,Іванющенко,Ю.В.,12.12.2012,27.11.2014,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 24/",,,,94,Партія регіонів,24,"освіта вища,<br>народний депутат України,<br>член Партії регіонів,<br>проживає в місті Єнакієве Донецької області,<br>судимість відсутня,<br>включений до виборчого списку під № 24.",http://itd.rada.gov.ua/mps/info/expage/11112/8,http://static.rada.gov.ua/dep_img7/reg24.jpg,reg24,1,21.02.1959,Вища
15733,22,mp-d21_1_skl7,7,Івахів Степан Петрович,Степан,Петрович,Івахів,С.П.,12.12.2012,27.11.2014,"Виборчий округ № 21, Волинська область",Виборчий округ № 21,21,Волинська область,0,Самовисування,,"освіта вища,<br>президент,<br>ТОВ ""Континіум"",<br>безпартійний,<br>проживає в селі Липини Луцького району Волинської області,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/15733/8,http://static.rada.gov.ua/dep_img7/d21_1.jpg,d21_1,1,24.01.1968,Вища
14241,121,mp-d121_1_skl7,7,Ілик Роман Романович,Роман,Романович,Ілик,Р.Р.,12.12.2012,27.11.2014,"Виборчий округ № 121, Львівська область",Виборчий округ № 121,121,Львівська область,17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",,"освіта вища,<br>помічник-консультант народного депутата України,<br>член політичної партії Всеукраїнське об’єднання ""Батьківщина"",<br>проживає в місті Дрогобич Львівської області,<br>судимість відсутня,<br>суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",http://itd.rada.gov.ua/mps/info/expage/14241/8,http://static.rada.gov.ua/dep_img7/d121_1.jpg,d121_1,1,14.11.1963,Вища
15837,212,mp-d215_1_skl7,7,Іллєнко Андрій Юрійович,Андрій,Юрійович,Іллєнко,А.Ю.,12.12.2012,27.11.2014,"Виборчий округ № 215, м. Київ",Виборчий округ № 215,215,м. Київ,117,"Політична партія Всеукраїнське об'єднання ""Свобода""",,"освіта вища,<br>аспірант,<br>Київський національний університет імені Тараса Шевченка,<br>член політичної партії Всеукраїнське об’єднання ""Свобода"",<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",http://itd.rada.gov.ua/mps/info/expage/15837/8,http://static.rada.gov.ua/dep_img7/d215_1.jpg,d215_1,1,24.06.1987,Вища
15794,128,mp-d128_1_skl7,7,Ільюк Артем Олександрович,Артем,Олександрович,Ільюк,А.О.,12.12.2012,27.11.2014,"Виборчий округ № 128, Миколаївська область",Виборчий округ № 128,128,Миколаївська область,94,Партія регіонів,,"освіта вища,<br>директор з економіки,<br>ТОВ ""Технологічна група"",<br>член Партії регіонів,<br>проживає в місті Миколаєві,<br>судимість відсутня,<br>суб’єкт висування – Партія регіонів.",http://itd.rada.gov.ua/mps/info/expage/15794/8,http://static.rada.gov.ua/dep_img7/d128_1.jpg,d128_1,1,17.04.1979,Вища
16868,486,mp-ud38_skl7,7,Іляшенко Віталій Володимирович,Віталій,Володимирович,Іляшенко,В.В.,17.06.2014,27.11.2014,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" /№ у списку - 38/",,,,207,"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",38,"освіта вища,<br>голова,<br>Черкаська обласна організація Політичної партії ""УДАР Віталія Кличка"",<br>член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"",<br>проживає в місті Черкасах,<br>судимість відсутня,<br>включений до виборчого списку під № 38.",http://itd.rada.gov.ua/mps/info/expage/16868/8,http://static.rada.gov.ua/dep_img7/ud38.jpg,ud38,1,09.04.1985,Вища
