id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_id,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,academic,old_profession,old_post,old_member,address,resignation_text
18089,165,mp-d207_1_skl8,8,Євлахов Анатолій Сергійович,Анатолій,Сергійович,Євлахов,А.С.,27.11.2014,,"Виборчий округ № 207, Чернігівська область",Виборчий округ № 207,207,77,Чернігівська область,безпартійний,50,Безпартійний,,"народився 14 квiтня 1981 року в місті Керч Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор департаменту, ПАТ ""Слов’янські шпалери – КФТП"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/18089,http://static.rada.gov.ua/dep_img8/d207_1.jpg,d207_1,1,14.04.1981,вища,,,директор департаменту,"ПАТ ""Слов’янські шпалери – КФТП""",ні,в місті Києві,
11728,118,mp-d156_1_skl8,8,Євтушок Сергій Миколайович,Сергій,Миколайович,Євтушок,С.М.,27.11.2014,,"Виборчий округ № 156, Рівненська область",Виборчий округ № 156,156,56,Рівненська область,"член політичної партії Всеукраїнське об’єднання ""Батьківщина""",17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",,"народився 13 листопада 1973 року в місті Сарни Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Сарненська районна державна адміністрація, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Сарни Рівненської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",http://itd.rada.gov.ua/mps/info/page/11728,http://static.rada.gov.ua/dep_img8/d156_1.jpg,d156_1,1,13.11.1973,вища,,,голова,Сарненська районна державна адміністрація,ні,в місті Сарни Рівненської області,
19859,468,mp-nf77_skl8,8,Єдаков Ярослав Юрійович,Ярослав,Юрійович,Єдаков,Я.Ю.,21.04.2016,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 77/",,,,,"член Політичної партії ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",77,"народився 25 сiчня 1976 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ МП ""Сотер"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Боярка Києво-Святошинського району Київської області, судимість відсутня, включений до виборчого списку під № 77.",http://itd.rada.gov.ua/mps/info/page/19859,http://static.rada.gov.ua/dep_img8/nf77.jpg,nf77,1,25.01.1976,вища,,,директор,"ТОВ МП ""Сотер""",ні,в місті Боярка Києво-Святошинського району Київської області,
18016,312,mp-sp17_skl8,8,Єднак Остап Володимирович,Остап,Володимирович,Єднак,О.В.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Об'єднання ""САМОПОМІЧ"" /№ у списку - 17/",,,,,безпартійний,50,Безпартійний,17,"народився 21 листопада 1980 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Інтервудкоммерц"", безпартійний, проживає в місті Броди Львівської області, судимість відсутня, включений до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/page/18016,http://static.rada.gov.ua/dep_img8/sp17.jpg,sp17,1,21.11.1980,вища,,,директор,"ТОВ ""Інтервудкоммерц""",ні,в місті Броди Львівської області,
17959,216,mp-nf38_skl8,8,Єленський Віктор Євгенович,Віктор,Євгенович,Єленський,В.Є.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 38/",,,,,"член Політичної партії ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",38,"народився 26 березня 1957 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник Прем’єр-міністра України, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 38.",http://itd.rada.gov.ua/mps/info/page/17959,http://static.rada.gov.ua/dep_img8/nf38.jpg,nf38,1,26.03.1957,вища,,,радник Прем’єр-міністра України,,ні,в місті Києві,
4761,179,mp-d221_1_skl8,8,Ємець Леонід Олександрович,Леонід,Олександрович,Ємець,Л.О.,27.11.2014,,"Виборчий округ № 221, м. Київ",Виборчий округ № 221,221,85,м. Київ,"член Політичної партії ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",,"народився 30 серпня 1979 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".",http://itd.rada.gov.ua/mps/info/page/4761,http://static.rada.gov.ua/dep_img8/d221_1.jpg,d221_1,1,30.08.1979,вища,,,народний депутат України,,так,в місті Києві,
5509,14,mp-d23_1_skl8,8,Єремеєв Ігор Миронович,Ігор,Миронович,Єремеєв,І.М.,27.11.2014,13.08.2015,"Виборчий округ № 23, Волинська область",Виборчий округ № 23,23,7,Волинська область,безпартійний,50,Безпартійний,,"народився 3 квiтня 1968 року в селі Острожець Млинівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/5509,http://static.rada.gov.ua/dep_img8/d23_1.jpg,d23_1,1,03.04.1968,вища,,,народний депутат України,,так,в місті Києві,НДУ Смерть
18090,31,mp-d48_1_skl8,8,Єфімов Максим Вікторович,Максим,Вікторович,Єфімов,М.В.,27.11.2014,,"Виборчий округ № 48, Донецька область",Виборчий округ № 48,48,14,Донецька область,безпартійний,50,Безпартійний,,"народився 1 листопада 1974 року в місті Петропавловськ Північно-Казахстанської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ВАТ ""ЕМСС"", безпартійний, проживає в місті Краматорськ Донецької області, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18090,http://static.rada.gov.ua/dep_img8/d48_1.jpg,d48_1,1,01.11.1974,вища,,,генеральний директор,"ВАТ ""ЕМСС""",ні,в місті Краматорськ Донецької області,
16716,237,mp-nf63_skl8,8,Єфремова Ірина Олексіївна,Ірина,Олексіївна,Єфремова,І.О.,27.11.2014,04.10.2018,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 63/",,,,,безпартійнa,50,Безпартійний,63,"народилася 26 березня 1959 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, радник Міністра внутрішніх справ України, безпартійнa, проживає в місті Харкові, судимість відсутня, включена до виборчого списку під № 63.",http://itd.rada.gov.ua/mps/info/page/16716,http://static.rada.gov.ua/dep_img8/nf63.jpg,nf63,2,26.03.1959,вища,,,радник Міністра внутрішніх справ України,,ні,в місті Харкові,НДУ Особиста письмова заява про складення повноважень
15654,196,mp-nf16_skl8,8,Іванчук Андрій Володимирович,Андрій,Володимирович,Іванчук,А.В.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 16/",,,,,"член Політичної партії ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",16,"народився 16 червня 1973 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова Комітету Верховної Ради України з питань економічної політики, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в селі Іванковичі Васильківського району Київської області, судимість відсутня, включений до виборчого списку під № 16.",http://itd.rada.gov.ua/mps/info/page/15654,http://static.rada.gov.ua/dep_img8/nf16.jpg,nf16,1,16.06.1973,вища,,,народний депутат України,голова Комітету Верховної Ради України з питань економічної політики,так,в селі Іванковичі Васильківського району Київської області,
