"convocation","gender","last_name","first_name","year","years","start","age_at_start","full_name","label"
1,1,"Шевченко","Олександр",1924,"1990-1994","1990",66,"Олександр Шевченко",1
1,1,"Юхновський","Ігор",1925,"1990-1994","1990",65,"Ігор Юхновський",1
1,1,"Стрельников","Володимир",1925,"1990-1994","1990",65,"Володимир Стрельников",2
1,1,"Артеменко","Микола",1926,"1990-1994","1990",64,"Микола Артеменко",1
1,1,"Лук'яненко","Левко",1927,"1990-1994","1990",63,"Левко Лук'яненко",1
1,1,"Ванєєв","Геннадій",1927,"1990-1994","1990",63,"Геннадій Ванєєв",2
1,1,"Порада","Олексій",1928,"1990-1994","1990",62,"Олексій Порада",1
1,1,"Крючков","Василь",1928,"1990-1994","1990",62,"Василь Крючков",2
1,1,"Масол","Віталій",1928,"1990-1994","1990",62,"Віталій Масол",3
1,1,"Марченко","Іван",1929,"1990-1994","1990",61,"Іван Марченко",1
1,1,"Іваничук","Роман",1929,"1990-1994","1990",61,"Роман Іваничук",2
1,1,"Дорогунцов","Сергій",1929,"1990-1994","1990",61,"Сергій Дорогунцов",3
1,1,"Резнік","Борис",1929,"1990-1994","1990",61,"Борис Резнік",4
1,1,"Ананьєв","Володимир",1929,"1990-1994","1990",61,"Володимир Ананьєв",5
1,1,"Павличко","Дмитро",1929,"1990-1994","1990",61,"Дмитро Павличко",6
1,1,"Чумак","Аркадій",1929,"1990-1994","1990",61,"Аркадій Чумак",7
1,1,"Єльченко","Юрій",1929,"1990-1994","1990",61,"Юрій Єльченко",8
1,1,"Заєць","Олександр",1929,"1990-1994","1990",61,"Олександр Заєць",9
1,1,"Продан","Костянтин",1930,"1990-1994","1990",60,"Костянтин Продан",1
1,1,"Бурего","Микола",1930,"1990-1994","1990",60,"Микола Бурего",2
1,1,"Сацький","Віталій",1930,"1990-1994","1990",60,"Віталій Сацький",3
1,1,"Голубець","Михайло",1930,"1990-1994","1990",60,"Михайло Голубець",4
1,1,"Горинь","Михайло",1930,"1990-1994","1990",60,"Михайло Горинь",5
1,1,"Качура","Борис",1930,"1990-1994","1990",60,"Борис Качура",6
1,1,"Тризна","Олександр",1930,"1990-1994","1990",60,"Олександр Тризна",7
1,1,"Шепа","Василь",1931,"1990-1994","1990",59,"Василь Шепа",1
1,1,"Пиріг","Любомир",1931,"1990-1994","1990",59,"Любомир Пиріг",2
1,1,"Козярський","Богдан",1931,"1990-1994","1990",59,"Богдан Козярський",3
1,1,"Швайка","Михайло",1931,"1990-1994","1990",59,"Михайло Швайка",4
1,1,"Бондаренко","Віктор",1931,"1990-1994","1990",59,"Віктор Бондаренко",5
1,1,"Куянов","Віктор",1931,"1990-1994","1990",59,"Віктор Куянов",6
1,1,"Новицький","Євген",1932,"1990-1994","1990",58,"Євген Новицький",1
1,1,"Корнієнко","Леонід",1932,"1990-1994","1990",58,"Леонід Корнієнко",2
1,1,"Бокша","Іван",1932,"1990-1994","1990",58,"Іван Бокша",3
1,1,"Ємельянов","Олександр",1932,"1990-1994","1990",58,"Олександр Ємельянов",4
1,1,"Івашко","Володимир",1932,"1990-1994","1990",58,"Володимир Івашко",5
1,1,"Фокін","Вітольд",1932,"1990-1994","1990",58,"Вітольд Фокін",6
1,1,"Звягільський","Юхим",1933,"1990-1994","1990",57,"Юхим Звягільський",1
1,1,"Кислий","Павло",1933,"1990-1994","1990",57,"Павло Кислий",2
1,1,"Гайовий","Володимир",1933,"1990-1994","1990",57,"Володимир Гайовий",3
1,1,"Галас","Іван",1933,"1990-1994","1990",57,"Іван Галас",4
1,1,"Грабін","Володимир",1933,"1990-1994","1990",57,"Володимир Грабін",5
1,1,"Мацялко","Михайло",1933,"1990-1994","1990",57,"Михайло Мацялко",6
1,1,"Алтунян","Генріх",1933,"1990-1994","1990",57,"Генріх Алтунян",7
1,1,"Меньшов","Володимир",1934,"1990-1994","1990",56,"Володимир Меньшов",1
1,1,"Маякін","Валентин",1934,"1990-1994","1990",56,"Валентин Маякін",2
1,1,"Волощук","Михайло",1934,"1990-1994","1990",56,"Михайло Волощук",3
1,1,"Дубовський","Анатолій",1934,"1990-1994","1990",56,"Анатолій Дубовський",4
1,1,"Воробйов","Олександр",1934,"1990-1994","1990",56,"Олександр Воробйов",5
1,1,"Желіба","Володимир",1934,"1990-1994","1990",56,"Володимир Желіба",6
1,1,"Некрасов","Владилен",1934,"1990-1994","1990",56,"Владилен Некрасов",7
1,1,"Влох","Орест",1934,"1990-1994","1990",56,"Орест Влох",8
1,1,"Олійник","Борис",1934,"1990-1994","1990",56,"Борис Олійник",9
1,1,"Косів","Михайло",1934,"1990-1994","1990",56,"Михайло Косів",10
1,1,"Пилипенко","Віктор",1934,"1990-1994","1990",56,"Віктор Пилипенко",11
1,1,"Хижняк","Віталій",1934,"1990-1994","1990",56,"Віталій Хижняк",12
1,1,"Хоменко","Микола",1934,"1990-1994","1990",56,"Микола Хоменко",13
1,1,"Бондаренко","Анатолій",1934,"1990-1994","1990",56,"Анатолій Бондаренко",14
1,1,"Кравчук","Леонід",1934,"1990-1994","1990",56,"Леонід Кравчук",15
1,1,"Пучко","Олександр",1934,"1990-1994","1990",56,"Олександр Пучко",16
1,1,"Шаповал","Володимир",1934,"1990-1994","1990",56,"Володимир Шаповал",17
1,1,"Стус","Володимир",1934,"1990-1994","1990",56,"Володимир Стус",18
