id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,old_profession,posts_text,factions_text,resignation_text
100101,mp-d1_skl1,1,Скорик Лариса Павлівна,Лариса,Павлівна,Скорик,Л.П.,,15.05.1990,10.05.1994,"Артемівський виборчий округ № 1, м. Київ",Артемівський виборчий округ № 1,1,м. Київ,"Член НРУ, делегат Установчих зборів НРУ, член Центрального проводу; голова Всенародного руху України; віце-президент Спілки архітекторів України",1,Народний Рух України,"Народилася 04.10.1939 року, в м. Любеч,( Польща) Львівської обл., в сім'ї вчителів, українка, освіта вища, архітектор, закінчила Львівський політехнічний інститут.\n1954 Студентка Львівського політехнічного інституту.\n1960 Архітектор Донецького філіалу Інституту ""Діпромісто""\n1961 Архітектор Львівського філіалу ""Львівтеплоелектропроект"".\n1963 Ст. архітектор проектного інституту ""Діпромісто"" м. Львів.\n1967 Аспірантка Київського інженерно-будівельного інституту.\n1971 Ст. викладач, керівник творчої майстерні кафедри архітектурного проектування, доцент Київського державного художнього інституту.\n1990 Професор кафедри архітектури Української академії мистецтв.\nЧлен НРУ, делегат Установчих зборів НРУ, член Центрального проводу; голова Всенародного руху України; віце-президент Спілки архітекторів України.\nВисунута кандидатом у народні депутати трудовим колективом Київського державного художнього інституту.\n18.03.1990 обрана Народним депутатом України, 2-й тур 45.04% голосів, 26 претендентів.\nВходила до Народної ради, фракції Конгресу національно-демократичних сил.\nГолова підкомісії Комісії ВР України з питань культури та духовного відродження.\nКандидат у Народні депутати України Верховної Ради XIII скликання, висунутий виборцями 2-й тур -40.78 % 2-те місце з 20-ти претендентів.\nКандидат архітектури.\nОдружена має дитину.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=100101,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D1.JPG,d1,2,04.10.1939,вища,Львівський політехнічний інститут,архітектор,Голова підкомісії Комісії ВР України з питань культури та духовного відродження,"Входила до Народної ради, фракції Конгресу національно-демократичних сил",
101001,mp-d10_skl1,1,Крижанівський Володимир Петрович,Володимир,Петрович,Крижанівський,В.П.,,15.05.1990,10.05.1994,"Лівобережний виборчий округ № 10, м. Київ",Лівобережний виборчий округ № 10,10,м. Київ,"Член НРУ; один з засновників та член об'єднання ""Нова Україна""",1,Народний Рух України,"Народився 24.01.1940 року, в м. Вінниця, в сім'ї службовців, українець, освіта вища, інженер-будівельник, Київський інженерно-будівельний інститут.\n1956 Робітник (Бурят-Монголія).\n1958 Студент Київського інженерно-будівельного інституту.\n1963 Виконроб БМУ-18, інженер, ст. інженер БМТ-1 м.Київ.\n1965 Керівник бригади, інженер, головний спеціаліст, зав. відділом інституту ЦНДІ ""Проектстальконструкція"".\n1984 Зав.відділом інституту ""Укр.НДІ проектстальконструкція"".\n1991 Повноважний Представник України в Російській Федерації.\n1992 Надзвичайний і Повноважний Посол України в Російській Федерації.\n1994 виконавчий директор МП ""Пластик"" м. Київ.\nЧлен НРУ; один з засновників та член об'єднання ""Нова Україна"".\nВисунутий кандидатом у народні депутати трудовим колективом ""УкрНДІ проектстальконструкція""\n18.03.1990 обраний Народним депутатом України, 2-й тур 48.80% голосів, 10 претендентів.\nВходив до Народної ради, фракція ""Нова Україна"".\nГолова підкомісії Комісії ВР України у правах людини,\nКандидат в Народні депутати України Верховної Ради XIII скликання, висунутий виборцями 1-й тур -3.57% 9-те місце з 24-х претендентів.\nОдружений, має двоє дітей.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=101001,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D10.JPG,d10,1,24.01.1940,вища,Київський інженерно-будівельний інститут,інженер-будівельник,Голова підкомісії Комісії ВР України у правах людини,"Входив до Народної ради, фракція ""Нова Україна""",
110001,mp-d100_skl1,1,Чулаков Євген Родіонович,Євген,Родіонович,Чулаков,Є.Р.,,15.05.1990,10.05.1994,"Васильківський виборчий округ № 100, Дніпропетровська область",Васильківський виборчий округ № 100,100,Дніпропетровська область,"Член КПРС 1960-91, член ЦК КПУ, делегат XXVII з'їзду КПРС, XIX Всесоюзної партконференції; депутат ВР УРСР XI скликання; депутат обласної Ради; член Сел.ПУ",5,Комуністична партія України,"Народився 05.04.1937 року, в с. Андріївка, Бердянського р-ону, Запорізької обл, в сім'ї селян, росіянин, освіта вища, вчений агроном, Дніпропетровський сільськогосподарський інститут, Вищу партійну школу при ЦК Компартії України.\nМеханізатор колгоспу ""Гигант"" Бердянського р-ону.\n1954 Студент Ногайського сільськогосподарського технікуму.\n1956 Агроном колгоспу ім. Леніна, Приморського р-ону, Запорізької обл.\n1957 Курсант, військовослужбовець строкової служби Чернігівського вищого військового авіаційного училища льотчиків.\n1960 Студент Дніпропетровського сільськогосподарського інституту.\n1965 Агроном, головний агроном тресту радгоспів.\nДиректор радгоспу ""Першотравневий"" Дніпропетровського р-ону.\n1965 Перший секретар Дніпровського РК ЛКСМУ, Другий секретар ОК ЛКСМУ.\n1969 Другий секретар Криничанського РК КПУ, Перший секретар Царичанського РК КПУ Дніпропетровської обл.\n1981 Зав. економічним відділом, секретар Дніпропетровського ОК КПУ.\n1986 Зав. відділом сільського господарства та переробної промисловості ЦК КПУ.\n1986 Приймав участь у ліквідації наслідків аварії на Чорнобильській АЕС.\nЧлен КПРС 1960-91, член ЦК КПУ, делегат XXVII з'їзду КПРС, XIX Всесоюзної партконференції; депутат ВР УРСР XI скликання; депутат обласної Ради; член Сел.ПУ.\nВисунутий кандидатом в народні депутати, трудовими колективами колгоспу ім. Мічуріна, районної лікарні, ремонтно-транспортного підприємства Васильковського р-ону, колгоспів ім. Дзержинського,""Дружба"" Покровського р-ону, колгоспів ""Комунар"", ""За мир"", ім. XXI з'їзду КПРС, ім. Леніна, виборцями села Роздоли Синельниковського р-ону.\n18.03.1990 обраний Народним депутатом України, 2-й тур 85.89% голосів, 1 претендент.\nГолова підкомісії Комісії ВР України з питань агропромислового комплексу.\nОбраний Народним депутатом України, Верховної Ради XIII скликання, 1-й тур, 58.59% голосів, 2 претенденти.\nНагороджений орденом Жовтневої Революції, трьома орденами Трудового Червоного Прапора, Дружби Народів, ""Знак Пошани"", сімома медалями, Почесною грамотою Президії ВР УРСР.\nОдружений, має дитину.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110001,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D100.JPG,d100,1,05.04.1937,вища,"Дніпропетровський сільськогосподарський інститут, Вищу партійну школу при ЦК Компартії України",вчений агроном,Голова підкомісії Комісії ВР України з питань агропромислового комплексу,,
110101,mp-d101_skl1,1,Мазур Володимир Дмитрович,Володимир,Дмитрович,Мазур,В.Д.,,15.05.1990,18.06.1992,"Верхньодніпровський виборчий округ № 101, Дніпропетровська область",Верхньодніпровський виборчий округ № 101,101,Дніпропетровська область,Член КПРС 1964-91; депутат районної та обласної Рад,5,Комуністична партія України,"Народився 10.02.1942 року, в селищі Петриківка, Царичанського р-ону, Дніпропетровської обл. в сім'ї робітників, українець, освіта вища, інженер-механік Дніпропетровський сільськогосподарський інститут, Вищу партійну школу при ЦК Компартії України.\n1959 Помічник комбайнера колгоспу ""Заповіт Ілліча"", Царичанського р-ону.\n1960 Слюсар-складальник Петриківської РТС.\n1961 Робітник Петриківського хлібоприймального пункту.\n1961 Служба в Радянській Армії.\n1964 Студент Дніпропетровського сільськогосподарського інституту.\n1969 Інженер-технолог. Заступник керуючого Петриківським відділенням ""Сільгосптехніка"".\n1971 Інструктор оргвідділу Царичанського РК КПУ.\n1973 Заст. голови виконкому Царичанської районної Ради.\n1975 Другий секретар Царичанського РК КПУ.\n1981 Голова виконкому Царичанської районної Ради.\n1986 Перший секретар Межівського РК КПУ.\n1989 Перший секретар Верхньодніпровського РК КПУ.\n1992 Представник Президента України в Верхньодніпровському районі.\n1994 Заст. директора по комерційній частині Дніпровського крахмало-патокового комбінату смт. Дніпрвське.\nВиконавчий директор приватної фірми ""Автомаг"" Верхньодніпровського р-ону.\nЧлен КПРС 1964-91; депутат районної та обласної Рад.\nВисунутий кандидатом в народні депутати, трудовими колективами чавуноливарного заводу ім. Першого Травня, заводу потужного радіобудування, дослідно -експериментального машинобудівного заводу, Верхньодніпровського гірничо -металургійного комбінату, колгоспу ім. Петровського Верхньодніпровського р-ону.\n18.03.1990 обраний Народним депутатом України, 2-й тур 57.73% голосів, 7 претендентів.\nЧлен Комісії ВР України з питань відродження та соціального розвитку села.\nСклав повноваження у зв'язку з призначенням Представником Президента України.\nНагороджений орденом ""Дружби Народів"", медалями.\nОдружений, має дитину.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110101,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D101.JPG,d101,1,10.02.1942,вища,"Дніпропетровський сільськогосподарський інститут, Вищу партійну школу при ЦК Компартії України",інженер-механік,Член Комісії ВР України з питань відродження та соціального розвитку села,,Склав повноваження у зв'язку з призначенням Представником Президента України
110201,mp-d102_skl1,1,Омельченко Микола Григорович,Микола,Григорович,Омельченко,М.Г.,,15.05.1990,10.05.1994,"Новомосковський виборчий округ № 102, Дніпропетровська область",Новомосковський виборчий округ № 102,102,Дніпропетровська область,"Член КПРС з 1963 року, член ЦК КПУ, член бюро ОК КПУ; депутат ВР УРСР X та XI скликання, обласної та міської Ради",5,Комуністична партія України,"Народився 16.06.1936 року, в с. Задонецькому, Зміївського р-ону Харківської обл., в сім'ї селян, українець, освіта вища, інженер-будівельник Харківський інженерно-будівельний інститут.\n1954 Студент Харківського інженерно-будівельного інституту.\n1959 Майстер, виконроб, старший виконроб, начальник дільниці Криворізького спецуправління N 552 тресту ""Дніпромонтажспецбуд"".\n1963 Начальник дільниці, головний інженер, начальник Дніпропетровського управління тресту ""Дніпромонтажспецбуд"".\n1972 Зав. відділом будівництва Дніпропетровського МК КПУ; Перший секретар БабушкінськогоРК КПУ.\n1977 Секретар Дніпропетровського МК КПУ.\n1980 Заступник, Перший заступник голови Дніпропетровського облвиконкому.\n1983 Перший серетар Дніпропетровського МК КПУ.\n1988 Другий, Перший секретар Дніпропетровського ОК КПУ.\nЧлен КПРС з 1963 року, член ЦК КПУ, член бюро ОК КПУ; депутат ВР УРСР X та XI скликання, обласної та міської Ради.\nВисунутий кандидатом у народні депутати, трудовими колективами колгоспів ""Орільський"" Новомосковського р-ону, ""За мир"" Магдалинівського р-ону, виборцями селища Магдалинівка та зборами військовослужбовців Н-ської військової частини.\n18.03.1990 обраний Народним депутатом України, 2-й тур 62.16% голосів, 3 претендентів.\nГолова підкомісії з питань розвитку інфраструктури села і використання соціальних об'єктів, Член Комісії ВР України з питань відродження та соціального розвитку села.\nНагороджений орденами ""Жовтневої революції"", Трудового Червоного Прапора, ""Знак Пошани"", медаллю, Почесною Грамотою Президії ВР УРСР.\nОдружений, має дитину.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110201,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D102.JPG,d102,1,16.06.1936,вища,Харківський інженерно-будівельний інститут,інженер-будівельник,"Голова підкомісії з питань розвитку інфраструктури села і використання соціальних об'єктів, Член Комісії ВР України з питань відродження та соціального розвитку села",,
110301,mp-d103_skl1,1,Сухий Василь Васильович,Василь,Васильович,Сухий,В.В.,,15.05.1990,10.05.1994,"Павлоградський виборчий округ № 103, Дніпропетровська область",Павлоградський виборчий округ № 103,103,Дніпропетровська область,"Член КПРС з 1968 року, кандидат в члени ОК КПУ; депутат районної Ради; член вищої ради Сел. ПУ",5,Комуністична партія України,"Народився 15.04.1944 року, в с. Піщанка, Новомосковського р-ону, Дніпропетровської обл. в сім'ї робітників, українець, освіта вища, вчений зоотехнік, Харківський зооветеринарний інститут, Вищу партійну школу при ЦК КПУ.\n1961 Токар Новомосковського автопарку.\n1963 Служба в Радянській Армії.\n1966 Інструктор, зав. оргвідділом Новомосковського РК ЛКСМУ.\n1970 Інструктор, заст. завідуючого відділом комсомольських організацій Дніпропетровського ОК ЛКСМУ; заочно закінчив Харківський зооветеринарний інститут.\n1976 Заст. голови колгоспу ""Червоний партизан"", ім. Котовського, голова колгоспу ім. Калініна Новомосковського р-ону Дніпропетровської обл.\n1979 Інструктор сільгоспвідділу Дніпропетровського ОК КПУ\n1980 Начальник відділу виробництва тваринницької продукції -заступник начальника Дніпропетровського обласного управління сільського господарства\n1981 Перший секретар Межівського РК КПУ\n1986 Перший секретар Павлоградського РК КПУ\n1992 Президент концерну ""Укрм'ясо""\nЧлен КПРС з 1968 року, кандидат в члени ОК КПУ; депутат районної Ради; член вищої ради Сел. ПУ.\nВисунутий кандидатом в народні депутати, трудовими колективами колгоспів ім. Щорса, ім. Дзержинського, радгоспу ""Комсомолець"", виборцями сіл Чаплинка і Новостроївка та пленумом Павлоградського райкому профспілки працівників агропромислового комплексу.\n18.03.1990 обраний Народним депутатом України, 2-й тур 66.98% голосів, 6 претендентів.\nГолова Комісії ВР України з питань відродження та соціального розвитку села.\nКандидат в Народні депутати України, Верховної Ради XIII скликання висунутий Сел.ПУ, 2-й тур -25.7% голосів 2-ге місце з 20 претендентів.\nНагороджений орденом ""Знак Пошани"", медалями, присвоєно звання ""Заслужений працівник сільського господарства"".\nОдружений, має дітей.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110301,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D103.JPG,d103,1,15.04.1944,вища,"Харківський зооветеринарний інститут, Вищу партійну школу при ЦК КПУ",вчений зоотехнік,Голова Комісії ВР України з питань відродження та соціального розвитку села,,
110401,mp-d104_skl1,1,Меньшов Володимир Олександрович,Володимир,Олександрович,Меньшов,В.О.,,15.05.1990,10.05.1994,"Південний виборчий округ № 104, Дніпропетровська область",Південний виборчий округ № 104,104,Дніпропетровська область,"Член КПРС з 1961 року, член ОК та РК КПУ; депутат районної та сільської Рад",5,Комуністична партія України,"Народився 22.04.1934 року, в м. Кривий Ріг, Дніпропетровської обл., в сім'ї робітників, росіянин, освіта вища, інженер-механік Дніпропетровський сільськогосподарський інститут.\n1953 Студент Дніпропетровського сільськогосподарського інституту.\n1958 Інженер-механік підсобного господарства N 2 Заводу ім. Карла Лібкнехта.\n1959 Головний Інженер-механік, голова правління колгоспу ім. Карла Маркса.\n1973 Головний інженер-механік, голова правління колгоспу ім. Крейсера ""Аврора"" Нікопольського р-ону.\nЧлен КПРС з 1961 року, член ОК та РК КПУ; депутат районної та сільської Рад.\nВисунутий кандидатом у народні депутати, трудовим колективом колгоспу ім. Крейсера ""Аврора"" Нікопольського р-ону.\n04.03.1990 обраний Народним депутатом України, 2-й тур 53.16% голосів, 3 претенденти.\nВходив до групи ""Злагода -Центр"". групи ""Земля і воля"".\nГолова підкомісії з питань використання надр, Член Комісії ВР України у питаннях екології та раціонального природокористування.\nНагороджений орденами Леніна, Трудового Червоного Прапора, двома золотими, срібною та двома бронзовими медалями ВДНГ СРСР, двома медалями ВДНГ УРСР, присвоєно почесне звання ""Заслужений працівник сільського господарства України"".\nОдружений, має двоє дітей.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110401,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D104.JPG,d104,1,22.04.1934,вища,Дніпропетровський сільськогосподарський інститут,інженер-механік,"Голова підкомісії з питань використання надр, Член Комісії ВР України у питаннях екології та раціонального природокористування","Входив до групи ""Злагода -Центр"". групи ""Земля і воля""",
110501,mp-d105_skl1,1,Сівцов Микола Пилипович,Микола,Пилипович,Сівцов,М.П.,,15.05.1990,10.05.1994,"Солонянський виборчий округ № 105, Дніпропетровська область",Солонянський виборчий округ № 105,105,Дніпропетровська область,"Член КПРС з 1971 року, член РК КПУ; депутат районної Ради",5,Комуністична партія України,"Народився 18.05.1942 року, в с. Дзержинівка Солонянського р-ону, Дніпропетровської обл., в сім'ї селян, росіянин, освіта вища, вчений агроном, Дніпропетровський сільськогосподарський інститут.\n1960 Колгоспник, колгоспу ""Росія"" Солонянського р-ону, вчитель Миколо-Мусіївської восьмирічної школи, бригадир, агроном, заступник голови колгоспу, голова колгоспу ім. Енгельса Солонянського району\nЧлен КПРС з 1971 року, член РК КПУ; депутат районної Ради.\nВисунутий кандидатом у народні депутати, трудовим колективом колгоспу ім. Енгельса, Солонянського району\n04.03.1990 обраний Народним депутатом України, 2-й тур 53.25% голосів, 2 претенденти.\nВходив до групи ""Злагода -Центр"", групи ""Земля і воля"".\nЧлен Комісії ВР України з питань відродження та соціального розвитку села\nНагороджений орденом ""Знак Пошани"".\nОдружений, має дітей.\nПомер.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110501,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D105.JPG,d105,1,18.05.1942,вища,Дніпропетровський сільськогосподарський інститут,вчений агроном,Член Комісії ВР України з питань відродження та соціального розвитку села,"Входив до групи ""Злагода -Центр"", групи ""Земля і воля""",Помер
110601,mp-d106_skl1,1,Продан Костянтин Костянтинович,Костянтин,Костянтинович,Продан,К.К.,,15.05.1990,10.05.1994,"Царичанський виборчий округ № 106, Дніпропетровська область",Царичанський виборчий округ № 106,106,Дніпропетровська область,"Член КПРС з 1958 року, член ЦК КПУ, делегат XXVI, XXVI, XXVII з'їздів КПРС, XIX партконференції, XXV, XXVI, XXVII з'їздів КПУ; депутат ВР УРСР IX, X, XI скликань",5,Комуністична партія України,"Народився 14.01.1930 року, в с. Рибалки Царичанського р-ону, Дніпропетровської обл. в сім'ї робітників, українець освіта вища, інженер-експлуатаційник, Дніпропетровський інститут інженерів залізничного транспорту.\n1949 Студент Дніпропетровського інституту інженерів залізничного транспорту.\n1954 Диспетчер Дніпропетровського трубопрокатного заводу ім. Леніна; викладач Дніпропетровського технікуму залізничного транспорту.\n1957 Другий секретар Червоногвардійського РК ЛКСМУ м. Дніпропетровська.\n1958 Заст. завідуючого відділом Дніпропетровського ОК ЛКСМУ.\n1960 Інструктор, помічник Першого секретаря Дніпропетровського ОК КПУ.\n1965 Помічник Голови РМ УРСР м. Київ.\n1972 Помічник Першого секретаря ЦК КПРС.\n1984 Керуючий справами ЦК КПУ, член ліквідаційної комісії.\nЧлен КПРС з 1958 року, член ЦК КПУ, делегат XXVI, XXVI, XXVII з'їздів КПРС, XIX партконференції, XXV, XXVI, XXVII з'їздів КПУ; депутат ВР УРСР IX, X, XI скликань.\nВисунутий кандидатом в народні депутати, трудовими колективами радгоспу ""Більшовик"", Дніпропетровського р-ону, колгоспів ім. Суворова, ім. Кірова, ім. Ватутіна Царичанського р-ону.\n04.03.1990 обраний Народним депутатом України, 2-й тур 71.37% голосів, 1 претендент.\nЧлен комісії з питань соціальної політики та праці.\nНагороджений орденами ""Жовтневої революції"", трьома орденами Трудового Червоного Прапора, ""Дружби Народів"", ""Знак Пошани"", медалями.\nОдружений, має двоє дітей.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110601,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D106.JPG,d106,1,14.01.1930,вища,Дніпропетровський інститут інженерів залізничного транспорту,інженер-експлуатаційник,,,
110701,mp-d107_skl1,1,Лазаренко Павло Іванович,Павло,Іванович,Лазаренко,П.І.,,15.05.1990,18.06.1992,"Широківський виборчий округ № 107, Дніпропетровська область",Широківський виборчий округ № 107,107,Дніпропетровська область,,5,Комуністична партія України,"Народився 23.01.1953 року, в с. Карпівка Широківського р-ону, Дніпропетровської обл. в сім'ї селян, українець, освіта вища, вчений агроном Дніпропетровський сільськогосподарський інститут.\n1970 Водій колгоспу ""Зоря комунізму"", Широківського р-ону.\n1971 Служба в Радянській Армії.\n1973 Студент Дніпропетровського сільськогосподарського інституту.\n1978 Агроном-організатор, головний агроном, голова правління колгоспу ім. Калініна Новомосковського р-ону.\n1984 Нач. управління сільського господарства Царичанського райвиконкому.\n1985 Другий секретар Царичанського РК КПУ.\n1985 Зав. відділу сільського господарства і харчової промисловості, зав. аграрним відділом Дніпропетровського ОК КПУ.\n1990 Голова ради агропром. комплексу, перший заступник голови виконкому Дніпропетровської обласної Ради.\n1992 Представник Президента України в Дніпропетровській обл.\n1994 Голова Дніпропетровської обласної ради та держадміністрації.\n1995 Перший віце-прем'єр-міністр України, голова державної комісії з питань зв'язку та радіочастот.\n1996 Прем'єр-міністр України.\n20.04.1990 обраний Народним депутатом України, 1-й тур, 66.61% голосів, 6 претендентів.\nЧлен Комісії ВР України з питань агропромислового комплексу.\n1992 Склав повноваження у зв'язку з призначенням Представником Президента України в Дніпропетровській обл.\nОбраний Народним депутатом України, Верховної Ради XIII скликання, 1-й тур, 93.16% голосів.\nНагороджений орденом Ярослава Мудрого VI ступеню.\nОдружений, має троє дітей.",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=110701,http://static.rada.gov.ua/zakon/new/DEPUTAT1/Foto/D107.JPG,d107,1,23.01.1953,вища,Дніпропетровський сільськогосподарський інститут,вчений агроном,Член Комісії ВР України з питань агропромислового комплексу,,1992 Склав повноваження у зв'язку з призначенням Представником Президента України в Дніпропетровській обл
