id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,anketa_data,anketa_url,photo,photo_id,gender,birthday,nationality,education,academic,old_profession,old_post,old_member,awards_text,resignation_text
28302,mp-d289_skl2,2,Агафонов Анатолій Вікторович,Анатолій,Вікторович,Агафонов,А.В.,,31.07.1994,12.05.1998,"Первомайський виборчий округ № 289, Миколаївська область",Первомайський виборчий округ № 289,289,Миколаївська область,Безпартійний,0,Самовисування,"Облікова картка\nПервомайський (Миколаївська обл.) виборчий округ N 289\nПрізвище, ім'я, по батькові: Агафонов Анатолій Вікторович\nЧисло, місяць і рік народження: 16.09.49\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: інженер-будівельник\nПосада (заняття), місце роботи: заступник голови Первомайської районної Ради народних депутатів\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=28302,http://static.rada.gov.ua/arhiv/DEPPHO2/D289.JPG,d289,1,16.09.1949,росіянин,вища,не має,інженер-будівельник,заступник голови Первомайської районної Ради народних депутатів,ні,,
11302,mp-d115_skl2,2,Азаров Микола Янович,Микола,Янович,Азаров,М.Я.,,11.05.1994,12.05.1998,"Петровський виборчий округ № 115, Донецька область",Петровський виборчий округ № 115,115,Донецька область,Партія Праці,14,Партія Праці,"Облікова картка\nПетровський (Донецька обл.) виборчий округ N 115\nПрізвище, ім'я, по батькові: Азаров Микола Янович\nЧисло, місяць і рік народження: 17.12.47\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: інженер, геолог-геофізик\nПосада (заняття), місце роботи: директор Українського науково-дослідного інституту гірничої геомеханіки і маркшейдерської справи, голова Партії праці\nЧи є членом політичної партії: Партія праці\nВчений ступінь, звання: доктор геолого-мінералогічних наук, професор\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=11302,http://static.rada.gov.ua/arhiv/DEPPHO2/D115.JPG,d115,1,17.12.1947,росіянин,вища,"доктор геолого-мінералогічних наук, професор","інженер, геолог-геофізик","директор Українського науково-дослідного інституту гірничої геомеханіки і маркшейдерської справи, голова Партії праці",ні,,
24802,mp-d254_skl2,2,Аксененко Сергій Іванович,Сергій,Іванович,Аксененко,С.І.,,11.05.1994,12.05.1998,"Лутугинський виборчий округ № 254, Луганська область",Лутугинський виборчий округ № 254,254,Луганська область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nЛутугинський (Луганська обл.) виборчий округ N 254\nПрізвище, ім'я, по батькові: Аксененко Сергій Іванович\nЧисло, місяць і рік народження: 23.05.67\nНаціональність: українець\nОсвіта: вища\nПрофесія: учитель\nПосада (заняття), місце роботи: тимчасово не працює\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=24802,http://static.rada.gov.ua/arhiv/DEPPHO2/D254.JPG,d254,1,23.05.1967,українець,вища,не має,учитель,тимчасово не працює,ні,,
36202,mp-d369_skl2,2,Алексєєв Володимир Геннадійович,Володимир,Геннадійович,Алексєєв,В.Г.,,11.05.1994,12.05.1998,"Індустріальний виборчий округ № 369, Харківська область",Індустріальний виборчий округ № 369,369,Харківська область,Громадянський Конгрес України,19,Громадянський Конгрес України,"Облікова картка\nІндустріальний (Харківська обл.) виборчий округ N 369\nПрізвище, ім'я, по батькові: Алексєєв Володимир Геннадійович\nЧисло, місяць і рік народження: 16.10.53\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: інженер шляхів сполучення\nПосада (заняття), місце роботи: науковий співробітник Харківського інституту інженерів залізничного транспорту\nЧи є членом політичної партії: Громадянський конгрес України\nВчений ступінь, звання: кандидат технічних наук\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=36202,http://static.rada.gov.ua/arhiv/DEPPHO2/D369.JPG,d369,1,16.10.1953,росіянин,вища,кандидат технічних наук,інженер шляхів сполучення,науковий співробітник Харківського інституту інженерів залізничного транспорту,ні,,
21802,mp-d224_skl2,2,Альошин Валерій Борисович,Валерій,Борисович,Альошин,В.Б.,,11.05.1994,12.05.1998,"Індустріальний виборчий округ № 224, Кіровоградська область",Індустріальний виборчий округ № 224,224,Кіровоградська область,Народний Рух України,1,Народний Рух України,"Облікова картка\nІндустріальний (Кіровоградська обл.) виборчий округ N 224\nПрізвище, ім'я, по батькові: Альошин Валерій Борисович\nЧисло, місяць і рік народження: 01.01.57\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: економіст\nПосада (заняття), місце роботи: доцент Кіровоградського педагогічного інституту\nЧи є членом політичної партії: Народний Рух України\nВчений ступінь, звання: кандидат економічних наук, доцент\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=21802,http://static.rada.gov.ua/arhiv/DEPPHO2/D224.JPG,d224,1,01.01.1957,росіянин,вища,"кандидат економічних наук, доцент",економіст,доцент Кіровоградського педагогічного інституту,ні,,
11402,mp-d116_skl2,2,Ампілогов Володимир Федорович,Володимир,Федорович,Ампілогов,В.Ф.,,11.05.1994,12.05.1998,"Пролетарський виборчий округ № 116, Донецька область",Пролетарський виборчий округ № 116,116,Донецька область,Безпартійний,0,Самовисування,"Облікова картка\nПролетарський (Донецька обл.) виборчий округ N 116\nПрізвище, ім'я, по батькові: Ампілогов Володимир Федорович\nЧисло, місяць і рік народження: 19.09.54\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: гірничий інженер\nПосада (заняття), місце роботи: директор шахтоуправління імені газети ""Правда"" виробничого об'єднання ""Донецьквугілля""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=11402,http://static.rada.gov.ua/arhiv/DEPPHO2/D116.JPG,d116,1,19.09.1954,росіянин,вища,не має,гірничий інженер,"директор шахтоуправління імені газети ""Правда"" виробничого об'єднання ""Донецьквугілля""",ні,,
17402,mp-d178_skl2,2,Анісімов Леонід Олександрович,Леонід,Олександрович,Анісімов,Л.О.,,11.05.1994,12.05.1998,"Заводський виборчий округ № 178, Запорізька область",Заводський виборчий округ № 178,178,Запорізька область,Безпартійний,0,Самовисування,"Облікова картка\nЗаводський (Запорізька обл.) виборчий округ N 178\nПрізвище, ім'я, по батькові: Анісімов Леонід Олександрович\nЧисло, місяць і рік народження: 01.04.47\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: інженер-металург\nПосада (заняття), місце роботи: начальник цеху комбінату ""Запоріжсталь""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=17402,http://static.rada.gov.ua/arhiv/DEPPHO2/D178.JPG,d178,1,01.04.1947,росіянин,вища,не має,інженер-металург,"начальник цеху комбінату ""Запоріжсталь""",ні,,
23902,mp-d245_skl2,2,Анненков Єгор Іванович,Єгор,Іванович,Анненков,Є.І.,,11.05.1994,12.05.1998,"Лисичанський виборчий округ № 245, Луганська область",Лисичанський виборчий округ № 245,245,Луганська область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nЛисичанський (Луганська обл.) виборчий округ N 245\nПрізвище, ім'я, по батькові: Анненков Єгор Іванович\nЧисло, місяць і рік народження: 03.05.41\nНаціональність: росіянин\nОсвіта: середня спеціальна\nПрофесія: агроном-організатор\nПосада (заняття), місце роботи: гірничий робітник очисного забою шахти ""Чорноморка"" виробничого об'єднання ""Лисичанськвугілля""\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=23902,http://static.rada.gov.ua/arhiv/DEPPHO2/D245.JPG,d245,1,03.05.1941,росіянин,середня спеціальна,не має,агроном-організатор,"гірничий робітник очисного забою шахти ""Чорноморка"" виробничого об'єднання ""Лисичанськвугілля""",ні,,
9502,mp-d97_skl2,2,Бабич Валерій Георгійович,Валерій,Георгійович,Бабич,В.Г.,,11.05.1994,12.05.1998,"Західно-Донбаський виборчий округ № 97, Дніпропетровська область",Західно-Донбаський виборчий округ № 97,97,Дніпропетровська область,Безпартійний,0,Самовисування,"Облікова картка\nЗахідно-Донбаський (Дніпропетровська обл.) виборчий округ N 097\nПрізвище, ім'я, по батькові: Бабич Валерій Георгійович\nЧисло, місяць і рік народження: 25.08.53\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: економіст\nПосада (заняття), місце роботи: президент акціонерної спілки ""Українська фінансова група""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=9502,http://static.rada.gov.ua/arhiv/DEPPHO2/D97.JPG,d97,1,25.08.1953,росіянин,вища,не має,економіст,"президент акціонерної спілки ""Українська фінансова група""",ні,,
8102,mp-d83_skl2,2,Байрак Микола Володимирович,Микола,Володимирович,Байрак,М.В.,,07.08.1994,12.05.1998,"Баглійський виборчий округ № 83, Дніпропетровська область",Баглійський виборчий округ № 83,83,Дніпропетровська область,Безпартійний,0,Самовисування,"Облікова картка\nБаглійський (Дніпропетровська обл.) виборчий округ N 083\nПрізвище, ім'я, по батькові: Байрак Микола Володимирович\nЧисло, місяць і рік народження: 04.05.63\nНаціональність: українець\nОсвіта: вища\nПрофесія: інженер-металург\nПосада (заняття), місце роботи: голова профспілкового комітету Дніпродзержинського виробничого об'єднання ""Азот""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=8102,http://static.rada.gov.ua/arhiv/DEPPHO2/D83.JPG,d83,1,04.05.1963,українець,вища,не має,інженер-металург,"голова профспілкового комітету Дніпродзержинського виробничого об'єднання ""Азот""",ні,,
