id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,nationality,education,old_profession,old_post,posts_text,post_name,department_name,factions_text,resignation_text
669103,mp-d97_skl3,3,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,02.10.1998,14.05.2002,"Виборчий округ № 97, Київська область",Виборчий округ № 97,97,Київська область,Безпартійний,0,Самовисування,,"Виборчий округ N 97\nПрізвище, ім'я, по батькові: Абдуллін Олександр Рафкатович\nДата народження: 1962\nПартійність (на момент виборів): позапартійний\nОсвіта: вища\nСпеціальність: журналіст\nПопереднє місце роботи: Президент АТЗТ ""Інтергаз""\nКомітет: Комітет з питань будівництва, транспорту і зв'язку\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Демократичний союз""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=669103,http://static.rada.gov.ua/arhiv/DEPPHO3/D97.JPG,d97,1,1962,,вища,журналіст,"Президент АТЗТ ""Інтергаз""","Член Комітету з питань будівництва, транспорту і зв'язку",Член Комітету,"Комітет з питань будівництва, транспорту і зв'язку","Фракція партії ""Демократичний союз""",
541903,mp-d59_skl3,3,Абрамов Федір Михайлович,Федір,Михайлович,Абрамов,Ф.М.,12.05.1998,14.05.2002,"Виборчий округ № 59, Донецька область",Виборчий округ № 59,59,Донецька область,Комуністична партія України,5,Комуністична партія України,,"Виборчий округ N 59\nПрізвище, ім'я, по батькові: Абрамов Федір Михайлович\nДата народження: 07/01/30\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: економіст\nПопереднє місце роботи: пенсіонер\nКомітет: Комітет у справах пенсіонерів, ветеранів та інвалідів\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=541903,http://static.rada.gov.ua/arhiv/DEPPHO3/D59.JPG,d59,1,07.01.1930,,вища,економіст,пенсіонер,"Член Комітету у справах пенсіонерів, ветеранів та інвалідів",Член Комітету,"Комітет у справах пенсіонерів, ветеранів та інвалідів",Фракція Комуністичної партії України,
234503,mp-d28_skl3,3,Агафонов Микола Іванович,Микола,Іванович,Агафонов,М.І.,12.05.1998,14.05.2002,"Виборчий округ № 28, Дніпропетровська область",Виборчий округ № 28,28,Дніпропетровська область,Аграрна партія України,0,Самовисування,,"Виборчий округ N 28\nПрізвище, ім'я, по батькові: Агафонов Микола Іванович\nДата народження: 23/05/48\nНаціональність: Росіянин\nПартійність (на момент виборів): Аграрна партія України\nОсвіта: вища\nСпеціальність: Фахівці сільськогосподарських професій\nПопереднє місце роботи: Генеральний директор науково-виробничої дослідної агрофірми ""Наукова"" УААН м.Дніпропетровськ\nКомітет: Комітет з питань аграрної політики та земельних відносин\nПосада в комітеті: Член Комітету\nФракція: Не входять до складу фракцій",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=234503,http://static.rada.gov.ua/arhiv/DEPPHO3/D28.JPG,d28,1,23.05.1948,росіянин,вища,Фахівці сільськогосподарських професій,"Генеральний директор науково-виробничої дослідної агрофірми ""Наукова"" УААН м.Дніпропетровськ",Член Комітету з питань аграрної політики та земельних відносин,Член Комітету,Комітет з питань аграрної політики та земельних відносин,Не входить до складу фракцій,
426003,mp-d131_skl3,3,Акопян Валерій Григорович,Валерій,Григорович,Акопян,В.Г.,12.05.1998,14.05.2002,"Виборчий округ № 131, Миколаївська область",Виборчий округ № 131,131,Миколаївська область,Безпартійний,0,Самовисування,,"Виборчий округ N 131\nПрізвище, ім'я, по батькові: Акопян Валерій Григорович\nДата народження: 20/07/58\nПартійність (на момент виборів): позапартійний\nОсвіта: вища\nСпеціальність: економіст\nПопереднє місце роботи: Віце-президент ЗАТ ""Інтергаз""\nКомітет: Комітет з питань фінансів і банківської діяльності\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Демократичний союз""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=426003,http://static.rada.gov.ua/arhiv/DEPPHO3/D131.JPG,d131,1,20.07.1958,,вища,економіст,"Віце-президент ЗАТ ""Інтергаз""",Член Комітету з питань фінансів і банківської діяльності,Член Комітету,Комітет з питань фінансів і банківської діяльності,"Фракція партії ""Демократичний союз""",
32503,mp-d247_skl3,3,Александровська Алла Олександрівна,Алла,Олександрівна,Александровська,А.О.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 24/",Багатомандатний загальнодержавний виборчий округ,0,,Комуністична партія України,5,Комуністична партія України,24,"Багатомандатний загальнодержавний виборчий округ, КПУ\nПрізвище, ім'я, по батькові: Александровська Алла Олександрівна\nДата народження: 07/12/48\nНаціональність: українка\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: інженер-механік\nПопереднє місце роботи: Керівник групи АТ ""Хартрон""\nКомітет: Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=32503,http://static.rada.gov.ua/arhiv/DEPPHO3/D247.JPG,d247,2,07.12.1948,українка,вища,інженер-механік,"Керівник групи АТ ""Хартрон""","Член Комітету з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",Член Комітету,"Комітет з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки",Фракція Комуністичної партії України,
330403,mp-d172_skl3,3,Алексєєв Володимир Геннадійович,Володимир,Геннадійович,Алексєєв,В.Г.,12.05.1998,14.05.2002,"Виборчий округ № 172, Харківська область",Виборчий округ № 172,172,Харківська область,Безпартійний,54,Прогресивна соціалістична партія України,,"Виборчий округ N 172\nПрізвище, ім'я, по батькові: Алексєєв Володимир Геннадійович\nДата народження: 16/10/53\nНаціональність: росіянин\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: інженер шляхів сполучення\nПопереднє місце роботи: Народний депутат України 13-го скликання\nКомітет: Комітет з питань свободи слова та інформації\nПосада в комітеті: Заступник голови комітету\nФракція: Фракція партії ""Солідарність""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=330403,http://static.rada.gov.ua/arhiv/DEPPHO3/D172.JPG,d172,1,16.10.1953,росіянин,вища,інженер шляхів сполучення,Народний депутат України 13-го скликання,Заступник голови Комітету з питань свободи слова та інформації,Заступник голови комітету,Комітет з питань свободи слова та інформації,"Фракція партії ""Солідарність""",
362203,mp-d39_skl3,3,Альохін Володимир Ілліч,Володимир,Ілліч,Альохін,В.І.,12.05.1998,14.05.2002,"Виборчий округ № 39, Дніпропетровська область",Виборчий округ № 39,39,Дніпропетровська область,"Всеукраїнське об'єднання ""Громада""",0,Самовисування,,"Виборчий округ N 39\nПрізвище, ім'я, по батькові: Альохін Володимир Ілліч\nДата народження: 03/08/57\nПартійність (на момент виборів): Всеукраїнське об'єднання ""Громада""\nОсвіта: вища\nСпеціальність: агроном, юрист\nПопереднє місце роботи: Голова Синельниківської райради\nКомітет: Комітет з питань боротьби з організованою злочинністю і корупцією\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Солідарність""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=362203,http://static.rada.gov.ua/arhiv/DEPPHO3/D39.JPG,d39,1,03.08.1957,,вища,"агроном, юрист",Голова Синельниківської райради,Член Комітету з питань боротьби з організованою злочинністю і корупцією,Член Комітету,Комітет з питань боротьби з організованою злочинністю і корупцією,"Фракція партії ""Солідарність""",
56203,mp-d336_skl3,3,Альошин Валерій Борисович,Валерій,Борисович,Альошин,В.Б.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Народний Рух України /№ у списку - 36/",Багатомандатний загальнодержавний виборчий округ,0,,Народний Рух України,1,Народний Рух України,36,"Багатомандатний загальнодержавний виборчий округ, НРУ\nПрізвище, ім'я, по батькові: Альошин Валерій Борисович\nДата народження: 01/01/57\nПартійність (на момент виборів): Народний Рух України\nОсвіта: вища\nСпеціальність: економіст\nПопереднє місце роботи: Народний депутат України 13-го скликання\nКомітет: Комітет з питань фінансів і банківської діяльності\nПосада в комітеті: Голова Комітету\nФракція: Фракція Українського Народного Руху",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=56203,http://static.rada.gov.ua/arhiv/DEPPHO3/D336.JPG,d336,1,01.01.1957,,вища,економіст,Народний депутат України 13-го скликання,Голова Комітету з питань фінансів і банківської діяльності,Голова Комітету,Комітет з питань фінансів і банківської діяльності,Фракція Українського Народного Руху,
392403,mp-d206_skl3,3,Ананко Євген Павлович,Євген,Павлович,Ананко,Є.П.,12.05.1998,14.05.2002,"Виборчий округ № 206, Чернігівська область",Виборчий округ № 206,206,Чернігівська область,Безпартійний,0,Самовисування,,"Виборчий округ N 206\nПрізвище, ім'я, по батькові: Ананко Євген Павлович\nДата народження: 23/02/58\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: економіст, фінансист\nПопереднє місце роботи: Голова правління АБ ""Зевс""\nКомітет: Комітет з питань фінансів і банківської діяльності\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Солідарність""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=392403,http://static.rada.gov.ua/arhiv/DEPPHO3/D206.JPG,d206,1,23.02.1958,,вища,"економіст, фінансист","Голова правління АБ ""Зевс""",Член Комітету з питань фінансів і банківської діяльності,Член Комітету,Комітет з питань фінансів і банківської діяльності,"Фракція партії ""Солідарність""",
681103,mp-d265_1_skl3,3,Анастасієв Валентин Олексійович,Валентин,Олексійович,Анастасієв,В.О.,09.02.1999,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 104/","Виборчий округ ",,,Комуністична партія України,5,Комуністична партія України,104,"Виборчий округ\nПрізвище, ім'я, по батькові: Анастасієв Валентин Олексійович\nДата народження: 1925\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: інженер-радіотелемеханік\nПопереднє місце роботи: голова міської ради організації ветеранів України, начальник районного спортивно-технічного центру ""Харківський"" Товариства сприяння обороні України\nКомітет: Комітет у справах пенсіонерів, ветеранів та інвалідів\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=681103,http://static.rada.gov.ua/arhiv/DEPPHO3/D265_1.JPG,d265_1,1,1925,,вища,інженер-радіотелемеханік,"голова міської ради організації ветеранів України, начальник районного спортивно-технічного центру ""Харківський"" Товариства сприяння обороні України","Член Комітету у справах пенсіонерів, ветеранів та інвалідів",Член Комітету,"Комітет у справах пенсіонерів, ветеранів та інвалідів",Фракція Комуністичної партії України,
