id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education
1165,8893,mp-reg141_skl5,5,Євтухов Василь Іванович,Василь,Іванович,Євтухов,В.І.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 141/",94,Партія регіонів,141,"безпартійний,<br>освіта вища,<br>тимчасово не працює,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/1165/6,http://static.rada.gov.ua/dep_img5/reg141.jpg,reg141,1,16.10.1948,Вища
9989,9176,mp-reg203_skl5,5,Єгоренко Тамара Василівна,Тамара,Василівна,Єгоренко,Т.В.,,17.10.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 203/",94,Партія регіонів,203,"член Партії регіонів,<br>освіта вища,<br>голова Ленінської районної у місті Донецьку ради,<br>проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/9989/6,http://static.rada.gov.ua/dep_img5/reg203.jpg,reg203,2,11.12.1949,Вища
2334,8991,mp-but68_skl5,5,Єдін Олександр Йосипович,Олександр,Йосипович,Єдін,О.Й.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія "" /№ у списку - 68/",178,"""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія""",68,"безпартійний,<br>освіта вища,<br>народний депутат України IV скликання,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/2334/6,http://static.rada.gov.ua/dep_img5/but68.jpg,but68,1,17.05.1960,Вища
8762,8773,mp-but118_skl5,5,Єресько Ігор Геннадійович,Ігор,Геннадійович,Єресько,І.Г.,,25.05.2006,12.06.2007,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія "" /№ у списку - 118/",178,"""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія""",118,"член Всеукраїнського об’єднання ""Батьківщина"",<br>освіта вища,<br>заступник голови Черкаської обласної державної адміністрації,<br>проживає у місті Черкасах",http://itd.rada.gov.ua/mps/info/expage/8762/6,http://static.rada.gov.ua/dep_img5/but118.jpg,but118,1,05.10.1956,Вища
8763,8969,mp-reg19_skl5,5,Єфремов Олександр Сергійович,Олександр,Сергійович,Єфремов,О.С.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 19/",94,Партія регіонів,19,"член Партії регіонів,<br>освіта вища,<br>президент Луганського регіонального відділення Української спілки промисловців і підприємців,<br>проживає у місті Луганську",http://itd.rada.gov.ua/mps/info/expage/8763/6,http://static.rada.gov.ua/dep_img5/reg19.jpg,reg19,1,22.08.1954,Вища
2267,8782,mp-nu1_skl5,5,Єхануров Юрій Іванович,Юрій,Іванович,Єхануров,Ю.І.,,25.05.2006,08.06.2007,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА"": Політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія  Християнсько-Дем.Союз /№ у списку - 1/",177,"Блок ""НАША УКРАЇНА"": Політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Дем.Союз",1,"член Політичної партії ""Народний Союз Наша Україна"",<br>освіта вища,<br>Прем’єр-міністр України,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/2267/6,http://static.rada.gov.ua/dep_img5/nu1.jpg,nu1,1,23.08.1948,Вища
8772,8752,mp-reg185_skl5,5,Іванов Володимир Михайлович,Володимир,Михайлович,Іванов,В.М.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 185/",94,Партія регіонів,185,"член Партії регіонів,<br>освіта вища,<br>пенсіонер,<br>проживає у місті Луганську",http://itd.rada.gov.ua/mps/info/expage/8772/6,http://static.rada.gov.ua/dep_img5/reg185.jpg,reg185,1,28.11.1953,Вища
5439,8846,mp-nu25_skl5,5,Івченко Олексій Григорович,Олексій,Григорович,Івченко,О.Г.,,25.05.2006,08.06.2007,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА"": Політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія  Християнсько-Дем.Союз /№ у списку - 25/",177,"Блок ""НАША УКРАЇНА"": Політична партія ""Народний Союз Наша Україна"", Народний Рух України, Партія промисловців і підприємців України, Конгрес Українських Націоналістів, Українська республіканська партія ""Собор"", Партія Християнсько-Дем.Союз",25,"член Конгресу Українських Націоналістів,<br>освіта вища,<br>Голова правління НАК ""Нафтогаз України"",<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/5439/6,http://static.rada.gov.ua/dep_img5/nu25.jpg,nu25,1,02.01.1963,Вища
8773,8946,mp-reg127_skl5,5,Ілляшов Григорій Олексійович,Григорій,Олексійович,Ілляшов,Г.О.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 127/",94,Партія регіонів,127,"безпартійний,<br>освіта вища,<br>начальник управління у розпорядженні  Голови  Служби безпеки України,<br>проживає у місті Луганську",http://itd.rada.gov.ua/mps/info/expage/8773/6,http://static.rada.gov.ua/dep_img5/reg127.jpg,reg127,1,13.04.1965,Вища
5539,9072,mp-reg131_skl5,5,Ісаєв Леонід Олексійович,Леонід,Олексійович,Ісаєв,Л.О.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 131/",94,Партія регіонів,131,"член Партії регіонів,<br>освіта вища,<br>народний депутат України IV скликання,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/5539/6,http://static.rada.gov.ua/dep_img5/reg131.jpg,reg131,1,17.04.1937,Вища
2524,8813,mp-but74_skl5,5,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,,25.05.2006,19.06.2007,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія "" /№ у списку - 74/",178,"""Блок Юлії Тимошенко"" - виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія""",74,"член Всеукраїнського об’єднання ""Батьківщина"",<br>освіта вища,<br>народний депутат України  IV скликання,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/2524/6,http://static.rada.gov.ua/dep_img5/but74.jpg,but74,1,29.06.1962,Вища
805,8758,mp-reg12_skl5,5,Азаров Микола Янович,Микола,Янович,Азаров,М.Я.,,25.05.2006,12.09.2006,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 12/",94,Партія регіонів,12,"член Партії регіонів,<br>освіта вища,<br>тимчасово не працює,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/805/6,http://static.rada.gov.ua/dep_img5/reg12.jpg,reg12,1,17.12.1947,Вища
5457,8732,mp-kpu14_skl5,5,Алексєєв Ігор Вікторович,Ігор,Вікторович,Алексєєв,І.В.,,25.05.2006,23.11.2007,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 14/",5,Комуністична партія України,14,"член Комуністичної партії України,<br>освіта вища,<br>народний депутат України IV скликання,<br>проживає у місті Києві",http://itd.rada.gov.ua/mps/info/expage/5457/6,http://static.rada.gov.ua/dep_img5/kpu14.jpg,kpu14,1,10.01.1960,Вища
