id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,resignation_text
18089,165,mp-d207_1_skl8,8,Євлахов Анатолій Сергійович,Анатолій,Сергійович,Євлахов,А.С.,27.11.2014,29.08.2019,"Виборчий округ № 207, Чернігівська область",Виборчий округ № 207,207,Чернігівська область,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>директор департаменту,<br>ПАТ&#160;""Слов’янські шпалери&#160;–&#160;КФТП"",<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/18089/9,http://static.rada.gov.ua/dep_img8/d207_1.jpg,d207_1,1,14.04.1981,Вища,
11728,118,mp-d156_1_skl8,8,Євтушок Сергій Миколайович,Сергій,Миколайович,Євтушок,С.М.,27.11.2014,29.08.2019,"Виборчий округ № 156, Рівненська область",Виборчий округ № 156,156,Рівненська область,,17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",,"освіта вища,<br>голова,<br>Сарненська районна державна адміністрація,<br>член політичної партії Всеукраїнське об’єднання ""Батьківщина"",<br>проживає в місті Сарни Рівненської області,<br>судимість відсутня,<br>суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",http://itd.rada.gov.ua/mps/info/expage/11728/9,http://static.rada.gov.ua/dep_img8/d156_1.jpg,d156_1,1,13.11.1973,Вища,
19859,468,mp-nf77_skl8,8,Єдаков Ярослав Юрійович,Ярослав,Юрійович,Єдаков,Я.Ю.,21.04.2016,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 77/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",77,"освіта вища,<br>директор,<br>ТОВ МП ""Сотер"",<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Боярка Києво-Святошинського району Київської області,<br>судимість відсутня,<br>включений до виборчого списку під № 77.",http://itd.rada.gov.ua/mps/info/expage/19859/9,http://static.rada.gov.ua/dep_img8/nf77.jpg,nf77,1,25.01.1976,Вища,
18016,312,mp-sp17_skl8,8,Єднак Остап Володимирович,Остап,Володимирович,Єднак,О.В.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Об'єднання ""САМОПОМІЧ"" /№ у списку - 17/",,,,"Політична партія ""Об'єднання ""САМОПОМІЧ""",212,"Політична партія ""Об'єднання ""САМОПОМІЧ""",17,"освіта вища,<br>директор,<br>ТОВ ""Інтервудкоммерц"",<br>безпартійний,<br>проживає в місті Броди Львівської області,<br>судимість відсутня,<br>включений до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/expage/18016/9,http://static.rada.gov.ua/dep_img8/sp17.jpg,sp17,1,21.11.1980,Вища,
17959,216,mp-nf38_skl8,8,Єленський Віктор Євгенович,Віктор,Євгенович,Єленський,В.Є.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 38/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",38,"освіта вища,<br>радник Прем’єр-міністра України,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 38.",http://itd.rada.gov.ua/mps/info/expage/17959/9,http://static.rada.gov.ua/dep_img8/nf38.jpg,nf38,1,26.03.1957,Вища,
4761,179,mp-d221_1_skl8,8,Ємець Леонід Олександрович,Леонід,Олександрович,Ємець,Л.О.,27.11.2014,29.08.2019,"Виборчий округ № 221, м. Київ",Виборчий округ № 221,221,м. Київ,,-544,Народний Фронт,,"освіта вища,<br>народний депутат України,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".",http://itd.rada.gov.ua/mps/info/expage/4761/9,http://static.rada.gov.ua/dep_img8/d221_1.jpg,d221_1,1,30.08.1979,Вища,
5509,14,mp-d23_1_skl8,8,Єремеєв Ігор Миронович,Ігор,Миронович,Єремеєв,І.М.,27.11.2014,13.08.2015,"Виборчий округ № 23, Волинська область",Виборчий округ № 23,23,Волинська область,,,,,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/5509/9,http://static.rada.gov.ua/dep_img8/d23_1.jpg,d23_1,1,03.04.1968,Вища,НДУ Смерть
18090,31,mp-d48_1_skl8,8,Єфімов Максим Вікторович,Максим,Вікторович,Єфімов,М.В.,27.11.2014,29.08.2019,"Виборчий округ № 48, Донецька область",Виборчий округ № 48,48,Донецька область,,0,Самовисування,,"освіта вища,<br>генеральний директор,<br>ВАТ ""ЕМСС"",<br>безпартійний,<br>проживає в місті Краматорськ Донецької області,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/18090/9,http://static.rada.gov.ua/dep_img8/d48_1.jpg,d48_1,1,01.11.1974,Вища,
16716,237,mp-nf63_skl8,8,Єфремова Ірина Олексіївна,Ірина,Олексіївна,Єфремова,І.О.,27.11.2014,04.10.2018,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 63/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",63,"освіта вища,<br>радник Міністра внутрішніх справ України,<br>безпартійнa,<br>проживає в місті Харкові,<br>судимість відсутня,<br>включена до виборчого списку під № 63.",http://itd.rada.gov.ua/mps/info/expage/16716/9,http://static.rada.gov.ua/dep_img8/nf63.jpg,nf63,2,26.03.1959,Вища,НДУ Особиста письмова заява про складення повноважень
15654,196,mp-nf16_skl8,8,Іванчук Андрій Володимирович,Андрій,Володимирович,Іванчук,А.В.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 16/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",16,"освіта вища,<br>народний депутат України,<br>голова Комітету Верховної Ради України з питань економічної політики,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в селі Іванковичі Васильківського району Київської області,<br>судимість відсутня,<br>включений до виборчого списку під № 16.",http://itd.rada.gov.ua/mps/info/expage/15654/9,http://static.rada.gov.ua/dep_img8/nf16.jpg,nf16,1,16.06.1973,Вища,
