id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_id,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,academic,old_profession,old_post,old_member,address,resignation_text
18090,35,mp-d48_1_skl9,9,Єфімов Максим Вікторович,Максим,Вікторович,Єфімов,М.В.,29.08.2019,,"Виборчий округ № 48, Донецька область",Виборчий округ № 48,48,14,Донецька область,безпартійний,50,Безпартійний,,"народився 1 листопада 1974&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в смт Біленьке міста Краматорськ Донецької області, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18090,http://static.rada.gov.ua/dep_img9/d48_1.jpg,d48_1,1,01.11.1974,вища,,,народний депутат України,народний депутат України,так,в смт Біленьке міста Краматорськ Донецької області,
21110,130,mp-d153_1_skl9,9,Іванісов Роман Валерійович,Роман,Валерійович,Іванісов,Р.В.,29.08.2019,,"Виборчий округ № 153, Рівненська область",Виборчий округ № 153,153,56,Рівненська область,безпартійний,50,Безпартійний,,"народився 2 листопада 1978&#160;року в місті Бердянськ Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний юрист, ТОВ ""ПРОФ ДЕЗ КОНТРОЛЬ ПЛЮС"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/21110,http://static.rada.gov.ua/dep_img9/d153_1.jpg,d153_1,1,02.11.1978,вища,,,головний юрист,"ТОВ ""ПРОФ ДЕЗ КОНТРОЛЬ ПЛЮС""",ні,в місті Києві,
21112,162,mp-d185_1_skl9,9,Іванов Володимир Ілліч,Володимир,Ілліч,Іванов,В.І.,29.08.2019,,"Виборчий округ № 185, Херсонська область",Виборчий округ № 185,185,65,Херсонська область,"член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ""",226,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",,"народився 14 липня 1982&#160;року в місті Херсоні, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з виробництва, ТОВ ""Агропроект-Юг"", член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"", проживає в місті Херсоні, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/21112,http://static.rada.gov.ua/dep_img9/d185_1.jpg,d185_1,1,14.07.1982,вища,,,директор з виробництва,"ТОВ ""Агропроект-Юг""",ні,в місті Херсоні,
15654,70,mp-d88_1_skl9,9,Іванчук Андрій Володимирович,Андрій,Володимирович,Іванчук,А.В.,29.08.2019,,"Виборчий округ № 88, Івано-Франківська область",Виборчий округ № 88,88,26,Івано-Франківська область,безпартійний,50,Безпартійний,,"народився 16 червня 1973&#160;року в місті Івано-Франківську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/15654,http://static.rada.gov.ua/dep_img9/d88_1.jpg,d88_1,1,16.06.1973,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
15733,12,mp-d21_1_skl9,9,Івахів Степан Петрович,Степан,Петрович,Івахів,С.П.,29.08.2019,,"Виборчий округ № 21, Волинська область",Виборчий округ № 21,21,7,Волинська область,безпартійний,50,Безпартійний,,"народився 24 сiчня 1968&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Липини Луцького району Волинської області, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/15733,http://static.rada.gov.ua/dep_img9/d21_1.jpg,d21_1,1,24.01.1968,вища,,,народний депутат України,народний депутат України,так,в селі Липини Луцького району Волинської області,
18055,385,mp-but24_skl9,9,Івченко Вадим Євгенович,Вадим,Євгенович,Івченко,В.Є.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 24/",,,,,"політична партія Всеукраїнське об'єднання ""Батьківщина""",50,Безпартійний,24,"народився 29 сiчня 1980&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Біла Церква Київської області, судимість відсутня, включений до виборчого списку під № 24.",http://itd.rada.gov.ua/mps/info/page/18055,http://static.rada.gov.ua/dep_img9/but24.jpg,but24,1,29.01.1980,вища,,,народний депутат України,народний депутат України,так,в місті Біла Церква Київської області,
15672,408,mp-es23_skl9,9,Іонова Марія Миколаївна,Марія,Миколаївна,Іонова,М.М.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Європейська Солідарність"" /№ у списку - 23/",,,,,"Політична партія ""Європейська Солідарність""",228,"Політична партія ""Європейська Солідарність""",23,"народилася 31 травня 1978&#160;року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 23.",http://itd.rada.gov.ua/mps/info/page/15672,http://static.rada.gov.ua/dep_img9/es23.jpg,es23,2,31.05.1978,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
21113,237,mp-sn38_skl9,9,Іонушас Сергій Костянтинович,Сергій,Костянтинович,Іонушас,С.К.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 38/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,38,"народився 18 жовтня 1979&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 38.",http://itd.rada.gov.ua/mps/info/page/21113,http://static.rada.gov.ua/dep_img9/sn38.jpg,sn38,1,18.10.1979,вища,,,фізична особа – підприємець,фізична особа – підприємець,ні,в місті Києві,
793,336,mp-op12_skl9,9,Іоффе Юлій Якович,Юлій,Якович,Іоффе,Ю.Я.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"" /№ у списку - 12/",,,,,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",227,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",12,"народився 10 грудня 1940&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 12.",http://itd.rada.gov.ua/mps/info/page/793,http://static.rada.gov.ua/dep_img9/op12.jpg,op12,1,10.12.1940,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
21114,339,mp-op15_skl9,9,Ісаєнко Дмитро Валерійович,Дмитро,Валерійович,Ісаєнко,Д.В.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"" /№ у списку - 15/",,,,,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",227,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",15,"народився 30 серпня 1967&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри будівництва та інформаційних технологій, ""Інститут інноваційної освіти КНУБА"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 15.",http://itd.rada.gov.ua/mps/info/page/21114,http://static.rada.gov.ua/dep_img9/op15.jpg,op15,1,30.08.1967,вища,"""Інститут інноваційної освіти КНУБА""",доцент кафедри будівництва та інформаційних технологій,,"доцент кафедри будівництва та інформаційних технологій, ""Інститут інноваційної освіти КНУБА""",,в місті Києві,
