"convocation","gender","last_name","first_name","year","label","years"
1,1,"Шевченко","Олександр",1924,1,"1990-1994"
1,1,"Юхновський","Ігор",1925,1,"1990-1994"
1,1,"Стрельников","Володимир",1925,2,"1990-1994"
1,1,"Артеменко","Микола",1926,1,"1990-1994"
1,1,"Лук'яненко","Левко",1927,1,"1990-1994"
1,1,"Ванєєв","Геннадій",1927,2,"1990-1994"
1,1,"Порада","Олексій",1928,1,"1990-1994"
1,1,"Крючков","Василь",1928,2,"1990-1994"
1,1,"Масол","Віталій",1928,3,"1990-1994"
1,1,"Марченко","Іван",1929,1,"1990-1994"
1,1,"Іваничук","Роман",1929,2,"1990-1994"
1,1,"Дорогунцов","Сергій",1929,3,"1990-1994"
1,1,"Резнік","Борис",1929,4,"1990-1994"
1,1,"Ананьєв","Володимир",1929,5,"1990-1994"
1,1,"Павличко","Дмитро",1929,6,"1990-1994"
1,1,"Чумак","Аркадій",1929,7,"1990-1994"
1,1,"Єльченко","Юрій",1929,8,"1990-1994"
1,1,"Заєць","Олександр",1929,9,"1990-1994"
1,1,"Продан","Костянтин",1930,1,"1990-1994"
1,1,"Бурего","Микола",1930,2,"1990-1994"
1,1,"Сацький","Віталій",1930,3,"1990-1994"
1,1,"Голубець","Михайло",1930,4,"1990-1994"
1,1,"Горинь","Михайло",1930,5,"1990-1994"
1,1,"Качура","Борис",1930,6,"1990-1994"
1,1,"Тризна","Олександр",1930,7,"1990-1994"
1,1,"Шепа","Василь",1931,1,"1990-1994"
1,1,"Пиріг","Любомир",1931,2,"1990-1994"
1,1,"Козярський","Богдан",1931,3,"1990-1994"
1,1,"Швайка","Михайло",1931,4,"1990-1994"
1,1,"Бондаренко","Віктор",1931,5,"1990-1994"
1,1,"Куянов","Віктор",1931,6,"1990-1994"
1,1,"Новицький","Євген",1932,1,"1990-1994"
1,1,"Корнієнко","Леонід",1932,2,"1990-1994"
1,1,"Бокша","Іван",1932,3,"1990-1994"
1,1,"Ємельянов","Олександр",1932,4,"1990-1994"
1,1,"Івашко","Володимир",1932,5,"1990-1994"
1,1,"Фокін","Вітольд",1932,6,"1990-1994"
1,1,"Звягільський","Юхим",1933,1,"1990-1994"
1,1,"Кислий","Павло",1933,2,"1990-1994"
1,1,"Гайовий","Володимир",1933,3,"1990-1994"
1,1,"Галас","Іван",1933,4,"1990-1994"
1,1,"Грабін","Володимир",1933,5,"1990-1994"
1,1,"Мацялко","Михайло",1933,6,"1990-1994"
1,1,"Алтунян","Генріх",1933,7,"1990-1994"
1,1,"Меньшов","Володимир",1934,1,"1990-1994"
1,1,"Маякін","Валентин",1934,2,"1990-1994"
1,1,"Волощук","Михайло",1934,3,"1990-1994"
1,1,"Дубовський","Анатолій",1934,4,"1990-1994"
1,1,"Воробйов","Олександр",1934,5,"1990-1994"
1,1,"Желіба","Володимир",1934,6,"1990-1994"
1,1,"Некрасов","Владилен",1934,7,"1990-1994"
1,1,"Влох","Орест",1934,8,"1990-1994"
1,1,"Олійник","Борис",1934,9,"1990-1994"
1,1,"Косів","Михайло",1934,10,"1990-1994"
1,1,"Пилипенко","Віктор",1934,11,"1990-1994"
1,1,"Хижняк","Віталій",1934,12,"1990-1994"
1,1,"Хоменко","Микола",1934,13,"1990-1994"
1,1,"Бондаренко","Анатолій",1934,14,"1990-1994"
1,1,"Кравчук","Леонід",1934,15,"1990-1994"
1,1,"Пучко","Олександр",1934,16,"1990-1994"
1,1,"Шаповал","Володимир",1934,17,"1990-1994"
1,1,"Стус","Володимир",1934,18,"1990-1994"
1,1,"Віцяк","Павло",1934,19,"1990-1994"
1,1,"Квасов","Володимир",1934,20,"1990-1994"
1,1,"Ляшко","Віктор",1935,1,"1990-1994"
1,1,"Олійник","Борис",1935,2,"1990-1994"
1,1,"Горін","Едуард",1935,3,"1990-1994"
1,1,"Дідик","Микола",1935,4,"1990-1994"
1,1,"Попик","Іван",1935,5,"1990-1994"
1,1,"Щербина","Володимир",1935,6,"1990-1994"
1,1,"Гетьман","Вадим",1935,7,"1990-1994"
1,1,"Пасічник","Іван",1935,8,"1990-1994"
1,1,"Омельченко","Микола",1936,1,"1990-1994"
1,1,"Данчевський","Володимир",1936,2,"1990-1994"
1,1,"Герц","Іван",1936,3,"1990-1994"
1,1,"Гуренко","Станіслав",1936,4,"1990-1994"
1,1,"Драч","Іван",1936,5,"1990-1994"
1,1,"Котик","Богдан",1936,6,"1990-1994"
1,1,"Гринів","Євген",1936,7,"1990-1994"
1,1,"Горинь","Богдан",1936,8,"1990-1994"
1,1,"Гальцев","Павло",1936,9,"1990-1994"
1,1,"Стадниченко","Володимир",1936,10,"1990-1994"
1,1,"Васін","Євген",1936,11,"1990-1994"
1,1,"Ткач","Полікарп",1936,12,"1990-1994"
1,1,"Шкарбан","Микола",1936,13,"1990-1994"
1,1,"Єршов","Аркадій",1936,14,"1990-1994"
1,1,"Рапій","Роман",1936,15,"1990-1994"
1,1,"Карасик","Владлен",1936,16,"1990-1994"
1,1,"Уманець","Юрій",1936,17,"1990-1994"
1,1,"Шариков","Борис",1936,18,"1990-1994"
1,1,"Поперняк","Анатолій",1936,19,"1990-1994"
1,1,"Дробінський","Віталій",1936,20,"1990-1994"
1,1,"Бондарчук","Андрій",1936,21,"1990-1994"
1,1,"Гришко","Михайло",1936,22,"1990-1994"
1,1,"Ляхов","Іван",1936,23,"1990-1994"
1,1,"Мельник","Анатолій",1936,24,"1990-1994"
1,2,"Остроущенко","Світлана",1937,1,"1990-1994"
1,1,"Чулаков","Євген",1937,2,"1990-1994"
1,1,"Корнєєв","Альберт",1937,3,"1990-1994"
1,1,"Булянда","Олександр",1937,4,"1990-1994"
1,1,"Задорожний","Борис",1937,5,"1990-1994"
1,1,"Ясинський","Володимир",1937,6,"1990-1994"
1,1,"Дорчинець","Дмитро",1937,7,"1990-1994"
1,1,"Білоусенко","Олександр",1937,8,"1990-1994"
1,1,"Осадчук","Петро",1937,9,"1990-1994"
1,1,"Дурдинець","Василь",1937,10,"1990-1994"
1,1,"Ігнатенко","Володимир",1937,11,"1990-1994"
1,1,"Павліченко","Віталій",1937,12,"1990-1994"
1,1,"Терехов","Володимир",1937,13,"1990-1994"
1,1,"Багров","Микола",1937,14,"1990-1994"
1,1,"Хмара","Степан",1937,15,"1990-1994"
1,1,"Чорновіл","Вячеслав",1937,16,"1990-1994"
1,1,"Савченко","Анатолій",1937,17,"1990-1994"
1,1,"Потебенько","Михайло",1937,18,"1990-1994"
1,1,"Мазур","Юлій",1937,19,"1990-1994"
1,1,"Лобенко","Анатолій",1937,20,"1990-1994"
1,1,"Рибальченко","Анатолій",1937,21,"1990-1994"
1,1,"Дудченко","Віталій",1937,22,"1990-1994"
1,1,"Печеров","Андрій",1937,23,"1990-1994"
1,1,"Мартиненко","Володимир",1937,24,"1990-1994"
1,1,"Гопей","Іван",1937,25,"1990-1994"
1,1,"Бандурка","Олександр",1937,26,"1990-1994"
1,1,"Нагулко","Тарас",1937,27,"1990-1994"
1,1,"Жук","Віктор",1937,28,"1990-1994"
1,1,"Ревенко","Микола",1937,29,"1990-1994"
1,1,"Леміш","Валентин",1937,30,"1990-1994"
1,1,"Козаренко","Василь",1937,31,"1990-1994"
1,1,"Базілянський","Лев",1937,32,"1990-1994"
1,1,"Гавриленко","Микола",1937,33,"1990-1994"
1,1,"Ліщина","Богдан",1937,34,"1990-1994"
1,1,"Духов","Борис",1937,35,"1990-1994"
1,1,"Попов","Микола",1937,36,"1990-1994"
1,1,"Сметанін","Володимир",1937,37,"1990-1994"
1,1,"Коробко","Микола",1937,38,"1990-1994"
1,1,"Слєднєв","Володимир",1938,1,"1990-1994"
1,1,"Короленко","Євген",1938,2,"1990-1994"
1,1,"Причкін","Олексій",1938,3,"1990-1994"
1,1,"Ребрик","Богдан",1938,4,"1990-1994"
1,1,"Мартинчук","Василь",1938,5,"1990-1994"
1,1,"Ейсмонт","Володимир",1938,6,"1990-1994"
1,1,"Мармазов","Євген",1938,7,"1990-1994"
1,1,"Рева","Віталій",1938,8,"1990-1994"
1,1,"Саввін","Олексій",1938,9,"1990-1994"
1,1,"Романюк","Віталій",1938,10,"1990-1994"
1,1,"Шинкарук","Володимир",1938,11,"1990-1994"
1,1,"Грицай","Іван",1938,12,"1990-1994"
1,1,"Танюк","Леонід",1938,13,"1990-1994"
1,1,"Бутенко","Анатолій",1938,14,"1990-1994"
1,1,"Бондаренко","Василь",1938,15,"1990-1994"
1,1,"Санін","Василь",1938,16,"1990-1994"
1,1,"Гордієнко","Анатолій",1938,17,"1990-1994"
1,1,"Савчук","Анатолій",1938,18,"1990-1994"
1,1,"Ходоровський","Георгій",1938,19,"1990-1994"
1,1,"Асеєв","Герман",1938,20,"1990-1994"
1,1,"Дідоренко","Едуард",1938,21,"1990-1994"
1,1,"Кучма","Леонід",1938,22,"1990-1994"
1,1,"Дубров","Леонід",1938,23,"1990-1994"
1,2,"Скорик","Лариса",1939,1,"1990-1994"
1,2,"Янушевич","Станіслава",1939,2,"1990-1994"
1,2,"Архіпова","Ганна",1939,3,"1990-1994"
1,1,"Смирнов","Юрій",1939,4,"1990-1994"
1,1,"Федоров","Володимир",1939,5,"1990-1994"
1,1,"Коцюба","Олександр",1939,6,"1990-1994"
1,1,"Єліашевич","Ігор",1939,7,"1990-1994"
1,1,"Мовчан","Павло",1939,8,"1990-1994"
1,1,"Сінько","Василь",1939,9,"1990-1994"
1,1,"Швець","Валентин",1939,10,"1990-1994"
1,1,"Курашик","Віталій",1939,11,"1990-1994"
1,1,"Романов","Юрій",1939,12,"1990-1994"
1,1,"Ситник","Віктор",1939,13,"1990-1994"
1,1,"Ковінько","Анатолій",1939,14,"1990-1994"
1,1,"Дмитришин","Ярослав",1939,15,"1990-1994"
1,1,"Загородній","Григорій",1939,16,"1990-1994"
1,1,"Яковишин","Леонід",1939,17,"1990-1994"
1,2,"Калинець","Ірина",1940,1,"1990-1994"
1,1,"Крижанівський","Володимир",1940,2,"1990-1994"
1,1,"Панасовський","Олег",1940,3,"1990-1994"
1,1,"Хунов","Анатолій",1940,4,"1990-1994"
1,1,"Островський","Зіновій",1940,5,"1990-1994"
1,1,"Зайко","Яків",1940,6,"1990-1994"
1,1,"Дупляк","Микола",1940,7,"1990-1994"
1,1,"Будько","Валентин",1940,8,"1990-1994"
1,1,"Кельман","Дмитро",1940,9,"1990-1994"
1,1,"Білий","Леонід",1940,10,"1990-1994"
1,1,"Захарук","Дмитро",1940,11,"1990-1994"
1,1,"Павленко","Фелікс",1940,12,"1990-1994"
1,1,"Аптер","Яків",1940,13,"1990-1994"
1,1,"Рябоконь","Василь",1940,14,"1990-1994"
1,1,"Симоненко","Валентин",1940,15,"1990-1994"
1,1,"Снігірьов","Микола",1940,16,"1990-1994"
1,1,"Кіпаріс","Федір",1940,17,"1990-1994"
1,1,"Петренко","Микола",1940,18,"1990-1994"
1,1,"Костюк","Олександр",1940,19,"1990-1994"
1,1,"Воєвода","Микола",1940,20,"1990-1994"
1,1,"Лисенко","Анатолій",1940,21,"1990-1994"
1,1,"Шевченко","Олесь",1940,22,"1990-1994"
1,1,"Іоффе","Юлій",1940,23,"1990-1994"
1,1,"Остапенко","Олександр",1940,24,"1990-1994"
1,1,"Сальніченко","Віталій",1940,25,"1990-1994"
